"gisd_score","gvb_id","gvb_name","year"
0.85007,"10010000","Flensburg, Stadt",1998
0.94241,"10010000","Flensburg, Stadt",1999
0.9579,"10010000","Flensburg, Stadt",2000
0.98886,"10010000","Flensburg, Stadt",2001
1,"10010000","Flensburg, Stadt",2002
0.9234,"10010000","Flensburg, Stadt",2003
1,"10010000","Flensburg, Stadt",2004
1,"10010000","Flensburg, Stadt",2005
1,"10010000","Flensburg, Stadt",2006
1,"10010000","Flensburg, Stadt",2007
0.99093,"10010000","Flensburg, Stadt",2008
1,"10010000","Flensburg, Stadt",2009
1,"10010000","Flensburg, Stadt",2010
0.93763,"10010000","Flensburg, Stadt",2011
0.90565,"10010000","Flensburg, Stadt",2012
0.91314,"10010000","Flensburg, Stadt",2013
0.95469,"10010000","Flensburg, Stadt",2014
0.96382,"10010000","Flensburg, Stadt",2015
0.92671,"10010000","Flensburg, Stadt",2016
0.95058,"10010000","Flensburg, Stadt",2017
0.88959,"10010000","Flensburg, Stadt",2018
0.90297,"10010000","Flensburg, Stadt",2019
0.94185,"10010000","Flensburg, Stadt",2020
0.94677,"10010000","Flensburg, Stadt",2021
0.61945,"10020000","Kiel, Landeshauptstadt",1998
0.64158,"10020000","Kiel, Landeshauptstadt",1999
0.728,"10020000","Kiel, Landeshauptstadt",2000
0.73129,"10020000","Kiel, Landeshauptstadt",2001
0.6359,"10020000","Kiel, Landeshauptstadt",2002
0.64942,"10020000","Kiel, Landeshauptstadt",2003
0.67632,"10020000","Kiel, Landeshauptstadt",2004
0.66,"10020000","Kiel, Landeshauptstadt",2005
0.71326,"10020000","Kiel, Landeshauptstadt",2006
0.72687,"10020000","Kiel, Landeshauptstadt",2007
0.68413,"10020000","Kiel, Landeshauptstadt",2008
0.63639,"10020000","Kiel, Landeshauptstadt",2009
0.6477,"10020000","Kiel, Landeshauptstadt",2010
0.64367,"10020000","Kiel, Landeshauptstadt",2011
0.63201,"10020000","Kiel, Landeshauptstadt",2012
0.60819,"10020000","Kiel, Landeshauptstadt",2013
0.63966,"10020000","Kiel, Landeshauptstadt",2014
0.57397,"10020000","Kiel, Landeshauptstadt",2015
0.58882,"10020000","Kiel, Landeshauptstadt",2016
0.56991,"10020000","Kiel, Landeshauptstadt",2017
0.552,"10020000","Kiel, Landeshauptstadt",2018
0.53492,"10020000","Kiel, Landeshauptstadt",2019
0.54086,"10020000","Kiel, Landeshauptstadt",2020
0.51992,"10020000","Kiel, Landeshauptstadt",2021
0.75897,"10030000","Lübeck, Hansestadt",1998
0.82316,"10030000","Lübeck, Hansestadt",1999
0.97611,"10030000","Lübeck, Hansestadt",2000
0.97893,"10030000","Lübeck, Hansestadt",2001
0.89473,"10030000","Lübeck, Hansestadt",2002
0.85508,"10030000","Lübeck, Hansestadt",2003
0.81903,"10030000","Lübeck, Hansestadt",2004
0.86151,"10030000","Lübeck, Hansestadt",2005
0.83068,"10030000","Lübeck, Hansestadt",2006
0.83126,"10030000","Lübeck, Hansestadt",2007
0.82128,"10030000","Lübeck, Hansestadt",2008
0.78749,"10030000","Lübeck, Hansestadt",2009
0.80339,"10030000","Lübeck, Hansestadt",2010
0.8582,"10030000","Lübeck, Hansestadt",2011
0.89236,"10030000","Lübeck, Hansestadt",2012
0.79127,"10030000","Lübeck, Hansestadt",2013
0.9137,"10030000","Lübeck, Hansestadt",2014
0.78289,"10030000","Lübeck, Hansestadt",2015
0.72844,"10030000","Lübeck, Hansestadt",2016
0.76605,"10030000","Lübeck, Hansestadt",2017
0.69542,"10030000","Lübeck, Hansestadt",2018
0.68314,"10030000","Lübeck, Hansestadt",2019
0.65746,"10030000","Lübeck, Hansestadt",2020
0.60708,"10030000","Lübeck, Hansestadt",2021
1,"10040000","Neumünster, Stadt",1998
1,"10040000","Neumünster, Stadt",1999
1,"10040000","Neumünster, Stadt",2000
1,"10040000","Neumünster, Stadt",2001
0.89266,"10040000","Neumünster, Stadt",2002
1,"10040000","Neumünster, Stadt",2003
0.94756,"10040000","Neumünster, Stadt",2004
0.86333,"10040000","Neumünster, Stadt",2005
0.88707,"10040000","Neumünster, Stadt",2006
0.89907,"10040000","Neumünster, Stadt",2007
1,"10040000","Neumünster, Stadt",2008
0.92178,"10040000","Neumünster, Stadt",2009
0.96132,"10040000","Neumünster, Stadt",2010
1,"10040000","Neumünster, Stadt",2011
1,"10040000","Neumünster, Stadt",2012
1,"10040000","Neumünster, Stadt",2013
1,"10040000","Neumünster, Stadt",2014
1,"10040000","Neumünster, Stadt",2015
1,"10040000","Neumünster, Stadt",2016
1,"10040000","Neumünster, Stadt",2017
1,"10040000","Neumünster, Stadt",2018
1,"10040000","Neumünster, Stadt",2019
1,"10040000","Neumünster, Stadt",2020
1,"10040000","Neumünster, Stadt",2021
0.66137,"10510011","Brunsbüttel, Stadt",1998
0.74832,"10510011","Brunsbüttel, Stadt",1999
0.84158,"10510011","Brunsbüttel, Stadt",2000
0.89882,"10510011","Brunsbüttel, Stadt",2001
0.82573,"10510011","Brunsbüttel, Stadt",2002
0.75186,"10510011","Brunsbüttel, Stadt",2003
0.76699,"10510011","Brunsbüttel, Stadt",2004
0.77183,"10510011","Brunsbüttel, Stadt",2005
0.71813,"10510011","Brunsbüttel, Stadt",2006
0.72271,"10510011","Brunsbüttel, Stadt",2007
0.72534,"10510011","Brunsbüttel, Stadt",2008
0.71736,"10510011","Brunsbüttel, Stadt",2009
0.71073,"10510011","Brunsbüttel, Stadt",2010
0.73448,"10510011","Brunsbüttel, Stadt",2011
0.8164,"10510011","Brunsbüttel, Stadt",2012
0.72306,"10510011","Brunsbüttel, Stadt",2013
0.8235,"10510011","Brunsbüttel, Stadt",2014
0.75628,"10510011","Brunsbüttel, Stadt",2015
0.73004,"10510011","Brunsbüttel, Stadt",2016
0.69436,"10510011","Brunsbüttel, Stadt",2017
0.66825,"10510011","Brunsbüttel, Stadt",2018
0.64407,"10510011","Brunsbüttel, Stadt",2019
