"gisd_score","kreis_id","kreis_name","year"
0.66717,"16051","Erfurt, Stadt",1998
0.65284,"16051","Erfurt, Stadt",1999
0.63006,"16051","Erfurt, Stadt",2000
0.62226,"16051","Erfurt, Stadt",2001
0.58306,"16051","Erfurt, Stadt",2002
0.55883,"16051","Erfurt, Stadt",2003
0.64429,"16051","Erfurt, Stadt",2004
0.66656,"16051","Erfurt, Stadt",2005
0.63841,"16051","Erfurt, Stadt",2006
0.68086,"16051","Erfurt, Stadt",2007
0.69601,"16051","Erfurt, Stadt",2008
0.67075,"16051","Erfurt, Stadt",2009
0.68416,"16051","Erfurt, Stadt",2010
0.65503,"16051","Erfurt, Stadt",2011
0.62448,"16051","Erfurt, Stadt",2012
0.59353,"16051","Erfurt, Stadt",2013
0.59007,"16051","Erfurt, Stadt",2014
0.6436,"16051","Erfurt, Stadt",2015
0.56159,"16051","Erfurt, Stadt",2016
0.73869,"16051","Erfurt, Stadt",2017
0.67631,"16051","Erfurt, Stadt",2018
0.63878,"16051","Erfurt, Stadt",2019
0.63925,"16051","Erfurt, Stadt",2020
0.6589,"16051","Erfurt, Stadt",2021
0.814,"16052","Gera, Stadt",1998
0.78325,"16052","Gera, Stadt",1999
0.72664,"16052","Gera, Stadt",2000
0.76827,"16052","Gera, Stadt",2001
0.67517,"16052","Gera, Stadt",2002
0.69544,"16052","Gera, Stadt",2003
0.72745,"16052","Gera, Stadt",2004
0.78036,"16052","Gera, Stadt",2005
0.78142,"16052","Gera, Stadt",2006
0.84134,"16052","Gera, Stadt",2007
0.85964,"16052","Gera, Stadt",2008
1,"16052","Gera, Stadt",2009
0.90055,"16052","Gera, Stadt",2010
0.91188,"16052","Gera, Stadt",2011
0.85422,"16052","Gera, Stadt",2012
0.80096,"16052","Gera, Stadt",2013
0.8144,"16052","Gera, Stadt",2014
0.85232,"16052","Gera, Stadt",2015
0.81694,"16052","Gera, Stadt",2016
0.90771,"16052","Gera, Stadt",2017
0.97744,"16052","Gera, Stadt",2018
1,"16052","Gera, Stadt",2019
0.97808,"16052","Gera, Stadt",2020
0.98179,"16052","Gera, Stadt",2021
0,"16053","Jena, Stadt",1998
0,"16053","Jena, Stadt",1999
0,"16053","Jena, Stadt",2000
0,"16053","Jena, Stadt",2001
0,"16053","Jena, Stadt",2002
0,"16053","Jena, Stadt",2003
0,"16053","Jena, Stadt",2004
0,"16053","Jena, Stadt",2005
0,"16053","Jena, Stadt",2006
0,"16053","Jena, Stadt",2007
0,"16053","Jena, Stadt",2008
0,"16053","Jena, Stadt",2009
0,"16053","Jena, Stadt",2010
0,"16053","Jena, Stadt",2011
0,"16053","Jena, Stadt",2012
0,"16053","Jena, Stadt",2013
0,"16053","Jena, Stadt",2014
0,"16053","Jena, Stadt",2015
0,"16053","Jena, Stadt",2016
0,"16053","Jena, Stadt",2017
0,"16053","Jena, Stadt",2018
0,"16053","Jena, Stadt",2019
0,"16053","Jena, Stadt",2020
0,"16053","Jena, Stadt",2021
0.7029,"16054","Suhl, Stadt",1998
0.63148,"16054","Suhl, Stadt",1999
0.75886,"16054","Suhl, Stadt",2000
0.633,"16054","Suhl, Stadt",2001
0.56544,"16054","Suhl, Stadt",2002
0.48218,"16054","Suhl, Stadt",2003
