"gisd_score","gvb_id","gvb_name","year"
0.28215,"031010000","Braunschweig, Stadt",1998
0.26559,"031010000","Braunschweig, Stadt",1999
0.22402,"031010000","Braunschweig, Stadt",2000
0.19788,"031010000","Braunschweig, Stadt",2001
0.18215,"031010000","Braunschweig, Stadt",2002
0.19407,"031010000","Braunschweig, Stadt",2003
0.16953,"031010000","Braunschweig, Stadt",2004
0.15542,"031010000","Braunschweig, Stadt",2005
0.15839,"031010000","Braunschweig, Stadt",2006
0.22122,"031010000","Braunschweig, Stadt",2007
0.20336,"031010000","Braunschweig, Stadt",2008
0.30253,"031010000","Braunschweig, Stadt",2009
0.25272,"031010000","Braunschweig, Stadt",2010
0.25475,"031010000","Braunschweig, Stadt",2011
0.33794,"031010000","Braunschweig, Stadt",2012
0.32705,"031010000","Braunschweig, Stadt",2013
0.31143,"031010000","Braunschweig, Stadt",2014
0.27166,"031010000","Braunschweig, Stadt",2015
0.23166,"031010000","Braunschweig, Stadt",2016
0.23346,"031010000","Braunschweig, Stadt",2017
0.23351,"031010000","Braunschweig, Stadt",2018
0.22171,"031010000","Braunschweig, Stadt",2019
0.22669,"031010000","Braunschweig, Stadt",2020
0.17037,"031010000","Braunschweig, Stadt",2021
0.64605,"031020000","Salzgitter, Stadt",1998
0.65042,"031020000","Salzgitter, Stadt",1999
0.54999,"031020000","Salzgitter, Stadt",2000
0.5542,"031020000","Salzgitter, Stadt",2001
0.50151,"031020000","Salzgitter, Stadt",2002
0.52436,"031020000","Salzgitter, Stadt",2003
0.46521,"031020000","Salzgitter, Stadt",2004
0.49314,"031020000","Salzgitter, Stadt",2005
0.53583,"031020000","Salzgitter, Stadt",2006
0.56073,"031020000","Salzgitter, Stadt",2007
0.56603,"031020000","Salzgitter, Stadt",2008
0.64707,"031020000","Salzgitter, Stadt",2009
0.59242,"031020000","Salzgitter, Stadt",2010
0.56069,"031020000","Salzgitter, Stadt",2011
0.59047,"031020000","Salzgitter, Stadt",2012
0.62229,"031020000","Salzgitter, Stadt",2013
