"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name Gemeindeverband","Group"
"1",14511000,1998,243521,0.750765497510902,0.834789882283442,0.694917592429421,0.836568091050078,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"2",14511000,1999,243521,0.726212116058348,0.815513174847966,0.742656443849799,0.838252743831058,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"3",14511000,2000,243521,0.719792523157008,0.803302509332309,0.708722423922915,0.815597860870163,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"4",14511000,2001,243521,0.693143222890598,0.788466555463821,0.678580704057948,0.784727072495705,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"5",14511000,2002,243521,0.708241383962948,0.782523083440861,0.652216547984946,0.777309897305195,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"6",14511000,2003,243521,0.715734151206344,0.773091689298978,0.62964469197386,0.766746028854482,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"7",14511000,2004,243521,0.714780411270111,0.752887148783097,0.627953959943678,0.756898244011475,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"8",14511000,2005,243521,0.725354018256476,0.763178698790947,0.626243743097118,0.765153906237619,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"9",14511000,2006,243521,0.706606508474093,0.75382232205755,0.563794946603356,0.726126252857592,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"10",14511000,2007,243521,0.67218366484341,0.746825685975336,0.560193549811135,0.706722530022327,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"11",14511000,2008,243521,0.636351867610761,0.702022969529507,0.569868653876014,0.676139457821595,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"12",14511000,2009,243521,0.632799441867223,0.679036733548131,0.556720929660197,0.659034867842327,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"13",14511000,2010,243521,0.610413750858571,0.678421305343572,0.562564225846792,0.651639950899137,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"14",14511000,2011,243521,0.572949730070219,0.658425197770312,0.564605724878615,0.627754860094579,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"15",14511000,2012,243521,0.551161138660989,0.657894613219634,0.572078783397716,0.621356274141494,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"16",14511000,2013,243521,0.536181260315665,0.643102653121291,0.573726682120081,0.609235027871982,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"17",14511000,2014,243521,0.563356216696588,0.638483786276475,0.536264659521481,0.602810661751239,"Chemnitz, Stadt",14511000,14511,"Chemnitz, Stadt",1403,"Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511000
"18",14521010,1998,3823,0.761797424862148,0.781878811479308,0.758721155920619,0.846017382196129,"Amtsberg",14521010,14521,"Erzgebirgskreis",1403,"Südsachsen","DED1","Chemnitz","Amtsberg",14521010
"19",14521010,1999,3823,0.743343284911308,0.768809892562578,0.763924320590016,0.834673668529942,"Amtsberg",14521010,14521,"Erzgebirgskreis",1403,"Südsachsen","DED1","Chemnitz","Amtsberg",14521010
"20",14521010,2000,3823,0.731816840674874,0.753646993459229,0.799493489264811,0.838500819021038,"Amtsberg",14521010,14521,"Erzgebirgskreis",1403,"Südsachsen","DED1","Chemnitz","Amtsberg",14521010
"21",14521010,2001,3823,0.738186879895661,0.756631460369002,0.740098690511019,0.816933758491988,"Amtsberg",14521010,14521,"Erzgebirgskreis",1403,"Südsachsen","DED1","Chemnitz","Amtsberg",14521010
