"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name Gemeindeverband","Group"
"1",1001000,1998,84694,0.719695548456524,0.927292559918189,0.812820674821031,0.913860730391342,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"2",1001000,1999,84694,0.696155579320282,0.91018355678911,0.801774719585457,0.891580532334726,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"3",1001000,2000,84694,0.66792641368011,0.886878933147816,0.764127618282413,0.853144113112476,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"4",1001000,2001,84694,0.629599828334624,0.836747440443041,0.775816132716015,0.820056900018511,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"5",1001000,2002,84694,0.625441125215555,0.832523768257705,0.808383450137877,0.83048046237587,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"6",1001000,2003,84694,0.636810978116226,0.84250642886158,0.740302963266626,0.810340991218349,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"7",1001000,2004,84694,0.644446474631075,0.839337990427565,0.751968163901574,0.817293896206598,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"8",1001000,2005,84694,0.702066533902412,0.84646047383462,0.755969042338068,0.846921890897228,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"9",1001000,2006,84694,0.690222660493393,0.846924128838779,0.739180132597856,0.834781168693032,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"10",1001000,2007,84694,0.656294996120562,0.831323029568265,0.731878880020858,0.81028777875786,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"11",1001000,2008,84694,0.634699380917526,0.78666397116173,0.688467018404138,0.763022171798989,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"12",1001000,2009,84694,0.653852865466594,0.749866614142577,0.679183631457865,0.751416687432889,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"13",1001000,2010,84694,0.643366526016495,0.755641795293782,0.660421605265876,0.741299888265943,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"14",1001000,2011,84694,0.614913090694431,0.700116482423635,0.653035234634158,0.701922080011388,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"15",1001000,2012,84694,0.595361748391648,0.693529221907391,0.639624706746904,0.684876646199963,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"16",1001000,2013,84694,0.587517311822793,0.708643945563099,0.645153733122978,0.690393072138229,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"17",1001000,2014,84694,0.569518564898297,0.696737128517321,0.607371578667361,0.661220078859475,"Flensburg, Stadt",1001000,1001,"Flensburg, Stadt",102,"Schleswig-Holstein Nord","DEF0","Schleswig-Holstein","Flensburg, Stadt",1001
"18",1002000,1998,243148,0.661924950753312,0.834770122414588,0.807151548599422,0.846641991262576,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"19",1002000,1999,243148,0.649444698345013,0.8229109057343,0.758995771393038,0.815396982831389,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"20",1002000,2000,243148,0.620153771991802,0.795078030999784,0.765889343656086,0.793748060959439,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"21",1002000,2001,243148,0.586745571670637,0.743533039668708,0.763261387232424,0.756001120988914,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"22",1002000,2002,243148,0.586569158860926,0.741865042850516,0.728340136379076,0.740155345846075,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"23",1002000,2003,243148,0.602395625586121,0.748511621003479,0.704781124184934,0.73968730056479,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"24",1002000,2004,243148,0.612916439184796,0.737565551616442,0.704013389740651,0.739173129060004,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"25",1002000,2005,243148,0.654217771099955,0.747335430796942,0.682305613426112,0.751828590130813,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"26",1002000,2006,243148,0.640709529014234,0.746773655883675,0.700532673497411,0.753620250308291,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"27",1002000,2007,243148,0.613580497373713,0.732090893776637,0.671286665431322,0.72299477167021,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"28",1002000,2008,243148,0.592355661345568,0.700494392515826,0.623026507157652,0.679429264378314,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"29",1002000,2009,243148,0.579962658997045,0.677250626955468,0.576648597110851,0.644081439035672,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"30",1002000,2010,243148,0.566290805533462,0.686143278268205,0.568218581525961,0.638388346859074,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"31",1002000,2011,243148,0.554682578608661,0.650187689367046,0.548381144038719,0.609338818294473,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"32",1002000,2012,243148,0.532173199010888,0.646974687268524,0.548422134227689,0.598270295388762,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"33",1002000,2013,243148,0.528672150132329,0.63747923052941,0.534758199469294,0.586779808399587,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"34",1002000,2014,243148,0.491220739714177,0.627459234371622,0.522947246165872,0.561229473323618,"Kiel, Landeshauptstadt",1002000,1002,"Kiel, Stadt",101,"Schleswig-Holstein Mitte","DEF0","Schleswig-Holstein","Kiel, Landeshauptstadt",1002
"35",1003000,1998,214420,0.682429963015614,0.876710632587692,0.886553341022746,0.907777317717903,"Lübeck, Hansestadt",1003000,1003,"Lübeck, Stadt",103,"Schleswig-Holstein Ost","DEF0","Schleswig-Holstein","Lübeck, Hansestadt",1003
"36",1003000,1999,214420,0.678797375358574,0.865928317393918,0.8433061423148,0.882925304083342,"Lübeck, Hansestadt",1003000,1003,"Lübeck, Stadt",103,"Schleswig-Holstein Ost","DEF0","Schleswig-Holstein","Lübeck, Hansestadt",1003
"37",1003000,2000,214420,0.656224346393444,0.844268782460755,0.860811075997412,0.871405858683616,"Lübeck, Hansestadt",1003000,1003,"Lübeck, Stadt",103,"Schleswig-Holstein Ost","DEF0","Schleswig-Holstein","Lübeck, Hansestadt",1003
