"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,672872;1245041;4;7;2
"2";1998;2;0,91767;427271;5;10;3
"3";1998;3;0,864399;294995;5;10;3
"4";1998;4;0,845281;1233846;5;9;3
"5";1998;6;1;1300863;5;10;3
"6";1998;7;0,81972;579985;5;9;3
"7";1998;8;0,821643;598445;5;9;3
"8";1998;9;0,806234;788089;5;9;3
"9";1998;10;0,732916;414467;4;8;2
"10";1998;12;0,731423;1377942;4;8;2
"11";1998;13;0,732878;1173394;4;8;2
"12";1998;14;0,703617;1264837;4;8;2
"13";1998;15;0,761901;627638;5;9;3
"14";1998;16;0,859682;598416;5;10;3
"15";1998;17;0,978832;587834;5;10;3
"16";1998;18;0,904291;607324;5;10;3
"17";1998;19;0,875057;404679;5;10;3
"18";1998;20;0,360696;123873;1;2;1
"19";1998;21;0,481603;1597996;2;4;2
"20";1998;22;0,390531;1103442;2;3;2
"21";1998;23;0,787104;734709;5;9;3
"22";1998;24;0,750706;1096639;4;8;2
"23";1998;25;0,665607;696446;4;7;2
"24";1998;26;0,808684;1174940;5;9;3
"25";1998;27;0,770312;860141;5;9;3
"26";1998;28;0,644918;738878;4;7;2
"27";1998;29;0,801847;522068;5;9;3
"28";1998;30;0,549407;912461;3;6;2
"29";1998;31;0,669654;987374;4;7;2
"30";1998;32;0,527548;885607;3;5;2
"31";1998;33;0,484079;1082569;3;5;2
"32";1998;34;0,625834;771997;3;6;2
"33";1998;35;0,519185;912547;3;5;2
"34";1998;36;0,585683;534835;3;6;2
"35";1998;37;0,753025;444539;4;8;2
"36";1998;38;0,651828;1141969;4;7;2
"37";1998;39;0,949488;783323;5;10;3
"38";1998;40;0,288608;991992;1;1;1
"39";1998;41;0,5482;952282;3;5;2
"40";1998;42;0,53347;878888;3;5;2
"41";1998;44;0,679855;1267494;4;8;2
"42";1998;45;0,62707;1559154;4;7;2
"43";1998;46;0,65543;894580;4;7;2
"44";1998;47;0,684417;1313713;4;8;2
"45";1998;48;0,469321;1189935;2;4;2
"46";1998;49;0,640324;1228129;4;7;2
"47";1998;50;0,411343;1084177;2;3;2
"48";1998;51;0,383507;1079789;1;2;1
"49";1998;52;0,56153;941131;3;6;2
"50";1998;53;0,414765;1265468;2;3;2
"51";1998;54;0,643831;516643;4;7;2
"52";1998;55;0,473577;805580;2;4;2
"53";1998;56;0,630733;849197;4;7;2
"54";1998;57;0,502747;598580;3;5;2
"55";1998;58;0,577858;930406;3;6;2
"56";1998;59;0,584028;1145053;3;6;2
"57";1998;60;0,210536;619157;1;1;1
"58";1998;61;0,208336;451016;1;1;1
"59";1998;63;0,454828;1268562;2;4;2
"60";1998;64;0,341758;802795;1;2;1
"61";1998;65;0,302041;1081652;1;2;1
"62";1998;66;0,726074;1248759;4;8;2
"63";1998;67;0,590409;1033467;3;6;2
"64";1998;68;0,401499;601445;2;3;2
"65";1998;69;0,290415;508992;1;2;1
"66";1998;70;0,127663;821650;1;1;1
"67";1998;71;0,196118;1000158;1;1;1
"68";1998;72;0,345467;1056260;1;2;1
"69";1998;73;0,317615;1006392;1;2;1
"70";1998;74;0,346717;1057532;1;2;1
"71";1998;75;0,410594;484410;2;3;2
"72";1998;76;0,362592;1139769;1;2;1
"73";1998;77;0,417322;478943;2;3;2
"74";1998;78;0,430974;741488;2;4;2
"75";1998;79;0,462828;1040371;2;4;2
"76";1998;80;3,4e-05;626238;1;1;1
"77";1998;81;0;814923;1;1;1
"78";1998;82;0,179634;735553;1;1;1
"79";1998;83;0,410846;762163;2;3;2
"80";1998;84;0,443333;684830;2;4;2
"81";1998;85;0,161756;1114901;1;1;1
"82";1998;86;0,453223;1164100;2;4;2
"83";1998;87;0,473204;522875;2;4;2
"84";1998;88;0,328293;846572;1;2;1
"85";1998;89;0,387887;763761;2;3;2
"86";1998;90;0,493458;892793;3;5;2
"87";1998;91;0,384477;999919;2;3;2
"88";1998;92;0,537915;516635;3;5;2
"89";1998;93;0,457303;590817;2;4;2
"90";1998;94;0,574239;705807;3;6;2
"91";1998;95;0,604708;497508;3;6;2
"92";1998;96;0,558658;561663;3;6;2
"93";1998;97;0,486968;1061355;3;5;2
"94";1998;98;0,848733;304392;5;9;3
"95";1998;99;0,916671;945480;5;10;3
"96";1999;1;0,692035;1245041;4;8;2
"97";1999;2;0,953262;427271;5;10;3
"98";1999;3;0,863927;294995;5;9;3
