"","Gemeindekennziffer","Jahr","Bevoelkerung","TS_Arbeitswelt","TS_Einkommen","TS_Bildung","GISD_Score","Name der Gemeinde","Kennziffer Gemeindeverband","Kreiskennziffer","Name des Kreises","Raumordnungsregion Nr","Raumordnungsregion","NUTS2","NUTS2 Name","Name des Gemeindeverbands","Group"
"1",14511000,1998,246855,0.728689334595816,0.92818833255383,0.664853287402803,0.847411141301885,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"2",14511000,1999,246855,0.694363079350869,0.919693428386161,0.744387440500257,0.862271075793105,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"3",14511000,2000,246855,0.685808871131367,0.914366063838088,0.701449116095974,0.839272680265356,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"4",14511000,2001,246855,0.650002905472519,0.907605388192285,0.664311836161648,0.807011757648367,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"5",14511000,2002,246855,0.667287609732702,0.905233443750376,0.631242455177613,0.799662691989999,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"6",14511000,2003,246855,0.675094497506258,0.901587451119181,0.606874188601912,0.791483565593581,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"7",14511000,2004,246855,0.674987173297522,0.893452280466705,0.612024343079786,0.790231911317838,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"8",14511000,2005,246855,0.686797297554752,0.898131650530554,0.617003472596522,0.798921541659215,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"9",14511000,2006,246855,0.66520891174338,0.89467707985917,0.531294964312407,0.754093829558961,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"10",14511000,2007,246855,0.630255625962126,0.892185145352275,0.531734021212416,0.739115231833049,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"11",14511000,2008,246855,0.592257363104316,0.873179757953293,0.555038903863829,0.725475334107748,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"12",14511000,2009,246855,0.584847305307832,0.862941043018695,0.542308847876048,0.713179213323985,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"13",14511000,2010,246855,0.559994481095277,0.862478518620579,0.558966646227018,0.709674987250296,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"14",14511000,2011,246855,0.51979187242384,0.853647614304181,0.571972520121682,0.695092456569368,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"15",14511000,2012,246855,0.495908758063032,0.852406404152595,0.571739785467862,0.684828944927288,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"16",14511000,2013,246855,0.477258641775814,0.847828992201477,0.612757303742948,0.692029613137975,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"17",14511000,2014,246855,0.454285998844905,0.845092835418308,0.560166573831359,0.660337131426486,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"18",14511000,2015,246855,0.43148357543552,0.844323192564301,0.490671182970195,0.622667190151539,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"19",14511000,2016,246855,0.396108523674521,0.838998545954143,0.493010529903177,0.60714047189138,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"20",14511000,2017,246855,0.365534771085864,0.832126892027647,0.567575588226905,0.622165005138314,"Chemnitz, Stadt","14511000",14511,"Chemnitz, Stadt","1403","Südsachsen","DED1","Chemnitz","Chemnitz, Stadt",14511
"21",14521010,1998,3737,0.730925974168959,0.905127724497979,0.680976509252771,0.845508469250077,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"22",14521010,1999,3737,0.707585654847222,0.899363752442763,0.695901591987661,0.839769299261185,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"23",14521010,2000,3737,0.686443969106888,0.89279826824564,0.752542511252758,0.851480510373116,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"24",14521010,2001,3737,0.682544975565373,0.893323324153773,0.669841457503877,0.816640836326022,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"25",14521010,2002,3737,0.683090860662178,0.892486370641504,0.648244523093261,0.807781458337637,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"26",14521010,2003,3737,0.676439482348986,0.887083765830185,0.64521571954618,0.801676556519797,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"27",14521010,2004,3737,0.664675665548298,0.878840402038995,0.60878374062477,0.778832268192165,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
"28",14521010,2005,3737,0.654022348423354,0.88195724411677,0.597804855966134,0.771337999686808,"Amtsberg","14521010",14521,"Erzgebirgskreis","1403","Südsachsen","DED1","Chemnitz","Amtsberg",14521
