"";"JAHR";"PLZ4";"GISD_Score";"Bevoelkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;106;0,524741;20221;4;7;2
"2";1998;109;0,524844;102290;4;7;2
"3";1998;110;0,52475;67556;4;7;2
"4";1998;112;0,524784;17550;4;7;2
"5";1998;113;0,525308;13887;4;7;2
"6";1998;115;0,525102;75122;4;7;2
"7";1998;116;0,525695;8090;4;7;2
"8";1998;118;0,525279;17059;4;7;2
"9";1998;121;0,52472;21199;4;7;2
"10";1998;123;0,524718;16458;4;7;2
"11";1998;125;0,525763;30714;4;7;2
"12";1998;127;0,524741;15986;4;7;2
"13";1998;130;0,524741;13820;4;7;2
"14";1998;132;0,525014;101099;4;7;2
"15";1998;144;0,567116;34362;4;8;2
"16";1998;145;0,579854;33394;4;8;2
"17";1998;146;0,526419;29121;4;7;2
"18";1998;147;0,531942;12674;4;7;2
"19";1998;155;0,676915;6105;5;9;3
"20";1998;156;0,620097;26870;4;8;2
"21";1998;158;0,785429;11997;5;10;3
"22";1998;159;0,74924;23788;5;10;3
"23";1998;160;0,674154;11816;5;9;3
"24";1998;161;0,634822;17682;5;9;3
"25";1998;162;0,638877;5088;5;9;3
"26";1998;164;0,588038;20443;4;8;2
"27";1998;166;0,644499;44501;5;9;3
"28";1998;168;0,578832;25358;4;8;2
"29";1998;170;0,661418;39109;5;9;3
"30";1998;172;0,48907;23904;4;7;2
"31";1998;173;0,521842;17058;4;7;2
"32";1998;174;0,556561;14359;4;8;2
"33";1998;176;0,527565;7942;4;7;2
"34";1998;177;0,529685;15897;4;7;2
"35";1998;179;0,694578;42381;5;9;3
"36";1998;180;0,646934;25217;5;9;3
"37";1998;181;0,569591;13886;4;8;2
"38";1998;182;0,602834;9161;4;8;2
"39";1998;183;0,545443;9956;4;7;2
"40";1998;184;0,662541;19062;5;9;3
"41";1998;185;0,665736;9930;5;9;3
"42";1998;187;0,798804;19251;5;10;3
"43";1998;189;0,501745;11455;4;7;2
"44";1998;190;0,577721;20945;4;8;2
"45";1998;191;0,644187;15074;5;9;3
"46";1998;192;0,572739;20399;4;8;2
"47";1998;193;0,570127;11627;4;8;2
"48";1998;194;0,672887;12167;5;9;3
"49";1998;196;0,767105;21113;5;10;3
"50";1998;197;0,768553;15087;5;10;3
"51";1998;198;0,7488;14089;5;10;3
"52";1998;199;0,734883;11722;5;10;3
"53";1998;262;0,653293;50786;5;9;3
"54";1998;263;0,60576;5494;4;8;2
"55";1998;268;0,651927;18367;5;9;3
"56";1998;269;0,613873;22375;4;8;2
"57";1998;270;0,751336;27129;5;10;3
"58";1998;272;0,833554;3349;5;10;3
"59";1998;273;0,764157;20086;5;10;3
"60";1998;274;0,719213;12915;5;9;3
"61";1998;276;0,828125;15583;5;10;3
"62";1998;277;0,798024;5144;5;10;3
"63";1998;278;0,842106;24735;5;10;3
"64";1998;279;0,732081;13768;5;10;3
"65";1998;282;0,817465;64513;5;10;3
"66";1998;289;0,751001;10858;5;10;3
"67";1998;290;0,731901;17239;5;10;3
"68";1998;292;0,664069;10444;5;9;3
"69";1998;294;0,836958;21466;5;10;3
"70";1998;295;0,750638;17410;5;10;3
"71";1998;297;0,743535;39434;5;10;3
"72";1998;299;0,714375;26176;5;9;3
"73";1998;304;0,690582;32276;5;9;3
"74";1998;305;0,684486;71920;5;9;3
"75";1998;309;0,601078;18423;4;8;2
"76";1998;310;0,717425;1836;5;9;3
"77";1998;311;0,736168;9383;5;10;3
"78";1998;313;0,69547;25831;5;9;3
"79";1998;314;0,74005;21391;5;10;3
"80";1998;315;0,694045;4942;5;9;3
"81";1998;317;0,741862;21489;5;10;3
"82";1998;318;0,632119;9728;4;8;2
"83";1998;319;0,629881;1333;4;8;2
"84";1998;320;0,672192;8410;5;9;3
"85";1998;322;0,727923;27893;5;10;3
"86";1998;323;0,887444;23495;5;10;3
"87";1998;324;0,755009;5174;5;10;3
"88";1998;325;0,836692;11471;5;10;3
"89";1998;410;0,705791;25028;5;9;3
"90";1998;412;0,705791;8619;5;9;3
"91";1998;415;0,705784;99771;5;9;3
"92";1998;417;0,705763;49157;5;9;3
"93";1998;420;0,705616;32544;5;9;3
"94";1998;422;0,705791;11031;5;9;3
"95";1998;424;0,705649;70450;5;9;3
"96";1998;427;0,705475;31493;5;9;3
"97";1998;428;0,705672;52563;5;9;3
"98";1998;429;0,705791;8542;5;9;3
"99";1998;431;0,70566;64430;5;9;3
"100";1998;432;0,705383;14130;5;9;3
"101";1998;434;0,70577;40249;5;9;3
"102";1998;435;0,705768;47508;5;9;3
"103";1998;441;0,603341;24718;4;8;2
"104";1998;442;0,625743;30775;4;8;2
"105";1998;443;0,641177;19626;5;9;3
"106";1998;444;0,631076;9009;4;8;2
"107";1998;445;0,459286;8409;3;6;2
"108";1998;446;0,555278;5566;4;8;2
"109";1998;450;0,696052;39063;5;9;3
"110";1998;451;0,705249;5206;5;9;3
"111";1998;452;0,667717;7641;5;9;3
"112";1998;453;0,68136;7662;5;9;3
"113";1998;455;0,731283;19199;5;10;3
"114";1998;456;0,691805;16271;5;9;3
"115";1998;457;0,685234;12873;5;9;3
"116";1998;460;0,899957;41323;5;10;3
"117";1998;461;0,85781;27903;5;10;3
"118";1998;462;0,783523;18125;5;10;3
"119";1998;463;0,821176;5210;5;10;3
"120";1998;464;0,679211;5423;5;9;3
"121";1998;465;0,66797;21096;5;9;3
"122";1998;466;0,674291;33240;5;9;3
"123";1998;468;0,650947;24756;5;9;3
"124";1998;470;0,680603;8375;5;9;3
"125";1998;472;0,667125;25896;5;9;3
"126";1998;473;0,70342;9033;5;9;3
"127";1998;474;0,715752;18502;5;9;3
"128";1998;475;0,716364;20895;5;9;3
"129";1998;476;0,739662;7645;5;10;3
"130";1998;477;0,691751;9677;5;9;3
"131";1998;480;0,670503;25935;5;9;3
"132";1998;482;0,604558;20923;4;8;2
"133";1998;483;0,72374;26573;5;9;3
"134";1998;484;0,715938;10529;5;9;3
"135";1998;486;0,754093;26954;5;10;3
"136";1998;487;0,730695;4155;5;10;3
"137";1998;488;0,745718;15550;5;10;3
"138";1998;489;0,799402;9456;5;10;3
"139";1998;491;0,783614;20508;5;10;3
"140";1998;492;0,764201;12850;5;10;3
"141";1998;493;0,770435;21781;5;10;3
"142";1998;610;0,848642;6503;5;10;3
"143";1998;611;0,848549;104185;5;10;3
"144";1998;612;0,848497;82560;5;10;3
"145";1998;613;0,848586;40483;5;10;3
"146";1998;617;0,67798;13692;5;9;3
"147";1998;618;0,6831;24932;5;9;3
"148";1998;619;0,707935;31781;5;9;3
"149";1998;621;0,783803;33566;5;10;3
"150";1998;623;0,743276;25595;5;10;3
"151";1998;624;0,782165;21213;5;10;3
"152";1998;625;0,726277;15229;5;10;3
"153";1998;626;0,814506;19390;5;10;3
"154";1998;627;0,790105;2649;5;10;3
"155";1998;629;0,982786;24920;5;10;3
"156";1998;630;0,941136;4464;5;10;3
"157";1998;631;0,935475;17369;5;10;3
"158";1998;633;1;14813;5;10;3
"159";1998;634;0,932296;17094;5;10;3
"160";1998;636;0,830709;30691;5;10;3
"161";1998;638;0,810637;26330;5;10;3
"162";1998;640;0,852794;34738;5;10;3
"163";1998;642;0,849784;19133;5;10;3
"164";1998;644;0,879905;30961;5;10;3
"165";1998;645;0,874134;9788;5;10;3
"166";1998;646;0,816694;9206;5;10;3
"167";1998;648;0,830503;25955;5;10;3
"168";1998;649;0,800647;17249;5;10;3
"169";1998;650;0,801154;18500;5;10;3
"170";1998;652;0,993795;33276;5;10;3
"171";1998;653;0,933619;14985;5;10;3
"172";1998;654;0,932011;10024;5;10;3
"173";1998;655;0,866773;12356;5;10;3
"174";1998;656;0,847077;8745;5;10;3
"175";1998;657;0,854208;15525;5;10;3
"176";1998;661;0,789364;26839;5;10;3
"177";1998;662;0,797851;12145;5;10;3
"178";1998;663;0,761752;13484;5;10;3
"179";1998;664;0,763131;14127;5;10;3
"180";1998;666;0,794701;33204;5;10;3
"181";1998;667;0,771018;9837;5;10;3
"182";1998;668;0,774131;26037;5;10;3
"183";1998;669;0,296282;24;2;3;2
"184";1998;671;0,869828;34340;5;10;3
"185";1998;672;0,782714;16034;5;10;3
"186";1998;674;0,876048;12583;5;10;3
"187";1998;676;0,875808;17141;5;10;3
"188";1998;677;0,78593;31868;5;10;3
"189";1998;678;0,778779;18592;5;10;3
"190";1998;679;0,790527;10317;5;10;3
"191";1998;680;0,841561;16436;5;10;3
"192";1998;684;0,7813;49943;5;10;3
"193";1998;686;0,779359;44710;5;10;3
"194";1998;688;0,782645;46333;5;10;3
