"","Kreiskennziffer","GISD_Score","GISD_5","GISD_10","GISD_k","Name des Kreises","Jahr"
"1",1001,0.811280632994074,5,10,3,"Flensburg, Stadt",1998
"2",1001,0.807950712332218,5,9,3,"Flensburg, Stadt",1999
"3",1001,0.725594525096171,5,9,3,"Flensburg, Stadt",2000
"4",1001,0.712217961257416,5,9,3,"Flensburg, Stadt",2001
"5",1001,0.755009546352771,5,9,3,"Flensburg, Stadt",2002
"6",1001,0.732489035445748,5,9,3,"Flensburg, Stadt",2003
"7",1001,0.777339328320537,5,9,3,"Flensburg, Stadt",2004
"8",1001,0.833409525335847,5,10,3,"Flensburg, Stadt",2005
"9",1001,0.859140063236126,5,10,3,"Flensburg, Stadt",2006
"10",1001,0.880623785860517,5,10,3,"Flensburg, Stadt",2007
"11",1001,0.899564341206008,5,10,3,"Flensburg, Stadt",2008
"12",1001,0.882954934837353,5,10,3,"Flensburg, Stadt",2009
"13",1001,0.90066043852993,5,10,3,"Flensburg, Stadt",2010
"14",1001,0.845878501821925,5,10,3,"Flensburg, Stadt",2011
"15",1001,0.814170357705434,5,10,3,"Flensburg, Stadt",2012
"16",1001,0.872861782691516,5,10,3,"Flensburg, Stadt",2013
"17",1001,0.854020784771974,5,10,3,"Flensburg, Stadt",2014
"18",1001,0.860022033807248,5,10,3,"Flensburg, Stadt",2015
"19",1001,0.812108028372245,5,10,3,"Flensburg, Stadt",2016
"20",1001,0.842622780421496,5,10,3,"Flensburg, Stadt",2017
"21",1001,0.834381793181838,5,10,3,"Flensburg, Stadt",2018
"22",1001,0.838345536081892,5,10,3,"Flensburg, Stadt",2019
"23",1002,0.660728112319757,4,7,2,"Kiel, Stadt",1998
"24",1002,0.647019236946813,4,7,2,"Kiel, Stadt",1999
"25",1002,0.600418687668965,4,7,2,"Kiel, Stadt",2000
"26",1002,0.575943422205389,4,7,2,"Kiel, Stadt",2001
"27",1002,0.572135788312907,3,6,2,"Kiel, Stadt",2002
"28",1002,0.58613831768095,3,6,2,"Kiel, Stadt",2003
"29",1002,0.60553935146783,4,7,2,"Kiel, Stadt",2004
"30",1002,0.643818287015602,4,7,2,"Kiel, Stadt",2005
"31",1002,0.6967619815695,4,8,2,"Kiel, Stadt",2006
"32",1002,0.720579286454949,4,8,2,"Kiel, Stadt",2007
"33",1002,0.73697688018863,4,8,2,"Kiel, Stadt",2008
"34",1002,0.69091761087644,4,7,2,"Kiel, Stadt",2009
"35",1002,0.71264971001556,4,7,2,"Kiel, Stadt",2010
"36",1002,0.693144292726987,4,8,2,"Kiel, Stadt",2011
"37",1002,0.66188272578239,4,8,2,"Kiel, Stadt",2012
"38",1002,0.702065258853273,4,8,2,"Kiel, Stadt",2013
"39",1002,0.696443126298237,4,8,2,"Kiel, Stadt",2014
"40",1002,0.661917148955157,4,8,2,"Kiel, Stadt",2015
"41",1002,0.638808602381942,4,8,2,"Kiel, Stadt",2016
"42",1002,0.641125342297781,4,8,2,"Kiel, Stadt",2017
"43",1002,0.651309194963027,4,8,2,"Kiel, Stadt",2018
"44",1002,0.635672462509501,4,7,2,"Kiel, Stadt",2019
"45",1003,0.726751370273584,4,8,2,"Lübeck, Stadt",1998
"46",1003,0.730677415486635,4,8,2,"Lübeck, Stadt",1999
"47",1003,0.714580560897752,4,8,2,"Lübeck, Stadt",2000
"48",1003,0.690396009779563,4,8,2,"Lübeck, Stadt",2001
"49",1003,0.697910417820726,4,8,2,"Lübeck, Stadt",2002
"50",1003,0.688948038375703,4,8,2,"Lübeck, Stadt",2003
"51",1003,0.679886924282684,4,8,2,"Lübeck, Stadt",2004
"52",1003,0.746454430321668,5,9,3,"Lübeck, Stadt",2005
"53",1003,0.759701118725464,5,9,3,"Lübeck, Stadt",2006
"54",1003,0.779310393210446,5,9,3,"Lübeck, Stadt",2007
"55",1003,0.804285005418793,5,9,3,"Lübeck, Stadt",2008
"56",1003,0.767048655410563,5,9,3,"Lübeck, Stadt",2009
"57",1003,0.787489123143532,5,9,3,"Lübeck, Stadt",2010
"58",1003,0.79524633220497,5,9,3,"Lübeck, Stadt",2011
"59",1003,0.776697917054429,5,9,3,"Lübeck, Stadt",2012
"60",1003,0.798097976656872,5,9,3,"Lübeck, Stadt",2013
"61",1003,0.813699786647184,5,10,3,"Lübeck, Stadt",2014
"62",1003,0.762378311475965,5,10,3,"Lübeck, Stadt",2015
"63",1003,0.706032899756267,5,9,3,"Lübeck, Stadt",2016
"64",1003,0.734795298927378,5,10,3,"Lübeck, Stadt",2017
"65",1003,0.724901119565437,5,9,3,"Lübeck, Stadt",2018
"66",1003,0.713311511308382,5,9,3,"Lübeck, Stadt",2019
"67",1004,0.837680287760849,5,10,3,"Neumünster, Stadt",1998
"68",1004,0.820982779903691,5,10,3,"Neumünster, Stadt",1999
"69",1004,0.734527231097775,5,9,3,"Neumünster, Stadt",2000
"70",1004,0.702946253095593,5,9,3,"Neumünster, Stadt",2001
"71",1004,0.697118900834168,4,8,2,"Neumünster, Stadt",2002
"72",1004,0.754360482364267,5,9,3,"Neumünster, Stadt",2003
"73",1004,0.740778174774034,5,9,3,"Neumünster, Stadt",2004
"74",1004,0.756956162057635,5,9,3,"Neumünster, Stadt",2005
"75",1004,0.796805450101946,5,9,3,"Neumünster, Stadt",2006
"76",1004,0.822015615347788,5,9,3,"Neumünster, Stadt",2007
"77",1004,0.889257528351608,5,10,3,"Neumünster, Stadt",2008
"78",1004,0.837658432134373,5,9,3,"Neumünster, Stadt",2009
"79",1004,0.874403483218144,5,10,3,"Neumünster, Stadt",2010
"80",1004,0.873823165348501,5,10,3,"Neumünster, Stadt",2011
"81",1004,0.83477103884872,5,10,3,"Neumünster, Stadt",2012
"82",1004,0.910642627527563,5,10,3,"Neumünster, Stadt",2013
"83",1004,0.870600770651708,5,10,3,"Neumünster, Stadt",2014
"84",1004,0.883892076494018,5,10,3,"Neumünster, Stadt",2015
"85",1004,0.850148253715686,5,10,3,"Neumünster, Stadt",2016
"86",1004,0.871554036313333,5,10,3,"Neumünster, Stadt",2017
"87",1004,0.904299461032425,5,10,3,"Neumünster, Stadt",2018
"88",1004,0.899408753550886,5,10,3,"Neumünster, Stadt",2019
"89",1051,0.700369971995066,4,8,2,"Dithmarschen",1998
"90",1051,0.708333934770791,4,8,2,"Dithmarschen",1999
"91",1051,0.679165498805224,4,8,2,"Dithmarschen",2000
"92",1051,0.676953913473578,4,8,2,"Dithmarschen",2001
"93",1051,0.685163387436137,4,8,2,"Dithmarschen",2002
"94",1051,0.662572807637098,4,8,2,"Dithmarschen",2003
"95",1051,0.67775932623855,4,8,2,"Dithmarschen",2004
"96",1051,0.723348056925655,4,8,2,"Dithmarschen",2005
"97",1051,0.729169418929235,4,8,2,"Dithmarschen",2006
"98",1051,0.749072926609485,4,8,2,"Dithmarschen",2007
"99",1051,0.787396307627493,5,9,3,"Dithmarschen",2008
"100",1051,0.768079536545269,5,9,3,"Dithmarschen",2009
"101",1051,0.77589631317653,5,9,3,"Dithmarschen",2010
"102",1051,0.772780398529276,5,9,3,"Dithmarschen",2011
"103",1051,0.765968722144809,5,9,3,"Dithmarschen",2012
"104",1051,0.793213528423053,5,9,3,"Dithmarschen",2013
"105",1051,0.802512096024839,5,10,3,"Dithmarschen",2014
"106",1051,0.780246520504026,5,10,3,"Dithmarschen",2015
"107",1051,0.742832975998902,5,10,3,"Dithmarschen",2016
"108",1051,0.73688872664653,5,10,3,"Dithmarschen",2017
"109",1051,0.745657317168017,5,9,3,"Dithmarschen",2018
"110",1051,0.730865638919869,5,9,3,"Dithmarschen",2019
"111",1053,0.519624128386817,2,4,2,"Herzogtum Lauenburg",1998
"112",1053,0.546820644874575,3,5,2,"Herzogtum Lauenburg",1999
"113",1053,0.51279485404017,3,5,2,"Herzogtum Lauenburg",2000
