"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.349315,9161000,"Ingolstadt",1998
"2",0.339829,9161000,"Ingolstadt",1999
"3",0.410578,9161000,"Ingolstadt",2000
"4",0.41702,9161000,"Ingolstadt",2001
"5",0.379962,9161000,"Ingolstadt",2002
"6",0.354955,9161000,"Ingolstadt",2003
"7",0.353745,9161000,"Ingolstadt",2004
"8",0.359875,9161000,"Ingolstadt",2005
"9",0.364996,9161000,"Ingolstadt",2006
"10",0.377429,9161000,"Ingolstadt",2007
"11",0.386617,9161000,"Ingolstadt",2008
"12",0.378529,9161000,"Ingolstadt",2009
"13",0.352478,9161000,"Ingolstadt",2010
"14",0.316784,9161000,"Ingolstadt",2011
"15",0.331655,9161000,"Ingolstadt",2012
"16",0.258918,9161000,"Ingolstadt",2013
"17",0.249811,9161000,"Ingolstadt",2014
"18",0.199079,9161000,"Ingolstadt",2015
"19",0.163743,9161000,"Ingolstadt",2016
"20",0.222608,9161000,"Ingolstadt",2017
"21",0.22851,9161000,"Ingolstadt",2018
"22",0.223982,9161000,"Ingolstadt",2019
"23",0.213627,9162000,"München, Landeshauptstadt",1998
"24",0.184264,9162000,"München, Landeshauptstadt",1999
"25",0.131086,9162000,"München, Landeshauptstadt",2000
"26",0.138126,9162000,"München, Landeshauptstadt",2001
"27",0.103786,9162000,"München, Landeshauptstadt",2002
"28",0.143257,9162000,"München, Landeshauptstadt",2003
"29",0.095361,9162000,"München, Landeshauptstadt",2004
"30",0.138894,9162000,"München, Landeshauptstadt",2005
"31",0.157903,9162000,"München, Landeshauptstadt",2006
"32",0.162008,9162000,"München, Landeshauptstadt",2007
"33",0.162961,9162000,"München, Landeshauptstadt",2008
"34",0.162957,9162000,"München, Landeshauptstadt",2009
"35",0.153242,9162000,"München, Landeshauptstadt",2010
"36",0.127459,9162000,"München, Landeshauptstadt",2011
"37",0.175105,9162000,"München, Landeshauptstadt",2012
"38",0.149166,9162000,"München, Landeshauptstadt",2013
"39",0.07989,9162000,"München, Landeshauptstadt",2014
"40",0.084407,9162000,"München, Landeshauptstadt",2015
"41",0,9162000,"München, Landeshauptstadt",2016
"42",0.036896,9162000,"München, Landeshauptstadt",2017
"43",0,9162000,"München, Landeshauptstadt",2018
"44",0,9162000,"München, Landeshauptstadt",2019
"45",0.568651,9163000,"Rosenheim",1998
"46",0.614401,9163000,"Rosenheim",1999
"47",0.613733,9163000,"Rosenheim",2000
"48",0.616389,9163000,"Rosenheim",2001
"49",0.595775,9163000,"Rosenheim",2002
"50",0.564267,9163000,"Rosenheim",2003
"51",0.500588,9163000,"Rosenheim",2004
"52",0.557428,9163000,"Rosenheim",2005
"53",0.595392,9163000,"Rosenheim",2006
"54",0.636556,9163000,"Rosenheim",2007
"55",0.657179,9163000,"Rosenheim",2008
"56",0.670485,9163000,"Rosenheim",2009
"57",0.684827,9163000,"Rosenheim",2010
"58",0.620039,9163000,"Rosenheim",2011
"59",0.696965,9163000,"Rosenheim",2012
"60",0.692752,9163000,"Rosenheim",2013
"61",0.676253,9163000,"Rosenheim",2014
"62",0.659913,9163000,"Rosenheim",2015
"63",0.638923,9163000,"Rosenheim",2016
"64",0.616245,9163000,"Rosenheim",2017
"65",0.648712,9163000,"Rosenheim",2018
"66",0.613535,9163000,"Rosenheim",2019
"67",0.554918,9171111,"Altötting, Stadt",1998
"68",0.604653,9171111,"Altötting, Stadt",1999
"69",0.648806,9171111,"Altötting, Stadt",2000
"70",0.716819,9171111,"Altötting, Stadt",2001
"71",0.675628,9171111,"Altötting, Stadt",2002
"72",0.633139,9171111,"Altötting, Stadt",2003
"73",0.62317,9171111,"Altötting, Stadt",2004
"74",0.615505,9171111,"Altötting, Stadt",2005
"75",0.591215,9171111,"Altötting, Stadt",2006
"76",0.589216,9171111,"Altötting, Stadt",2007
"77",0.590003,9171111,"Altötting, Stadt",2008
"78",0.613681,9171111,"Altötting, Stadt",2009
"79",0.612973,9171111,"Altötting, Stadt",2010
"80",0.596057,9171111,"Altötting, Stadt",2011
"81",0.59484,9171111,"Altötting, Stadt",2012
"82",0.650101,9171111,"Altötting, Stadt",2013
"83",0.629653,9171111,"Altötting, Stadt",2014
"84",0.652838,9171111,"Altötting, Stadt",2015
"85",0.654855,9171111,"Altötting, Stadt",2016
"86",0.653054,9171111,"Altötting, Stadt",2017
