"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",1,12051,"Brandenburg an der Havel, Stadt",1998
"2",1,12051,"Brandenburg an der Havel, Stadt",1999
"3",1,12051,"Brandenburg an der Havel, Stadt",2000
"4",0.922496688055028,12051,"Brandenburg an der Havel, Stadt",2001
"5",0.951723724378589,12051,"Brandenburg an der Havel, Stadt",2002
"6",0.905754214092635,12051,"Brandenburg an der Havel, Stadt",2003
"7",0.83361108074951,12051,"Brandenburg an der Havel, Stadt",2004
"8",0.831196759209584,12051,"Brandenburg an der Havel, Stadt",2005
"9",0.896984316465944,12051,"Brandenburg an der Havel, Stadt",2006
"10",0.992574291671631,12051,"Brandenburg an der Havel, Stadt",2007
"11",0.870319802909929,12051,"Brandenburg an der Havel, Stadt",2008
"12",0.916961179529745,12051,"Brandenburg an der Havel, Stadt",2009
"13",0.917382413417204,12051,"Brandenburg an der Havel, Stadt",2010
"14",0.92851912638844,12051,"Brandenburg an der Havel, Stadt",2011
"15",0.841335296601855,12051,"Brandenburg an der Havel, Stadt",2012
"16",0.885451523138282,12051,"Brandenburg an der Havel, Stadt",2013
"17",0.876960165464403,12051,"Brandenburg an der Havel, Stadt",2014
"18",0.967033495952022,12051,"Brandenburg an der Havel, Stadt",2015
"19",0.888825756103833,12051,"Brandenburg an der Havel, Stadt",2016
"20",0.914731668906312,12051,"Brandenburg an der Havel, Stadt",2017
"21",0.903653593770747,12051,"Brandenburg an der Havel, Stadt",2018
"22",0.885177455858546,12051,"Brandenburg an der Havel, Stadt",2019
"23",0.494622467671414,12052,"Cottbus, Stadt",1998
"24",0.441198883873941,12052,"Cottbus, Stadt",1999
"25",0.419965431803371,12052,"Cottbus, Stadt",2000
"26",0.402003058943553,12052,"Cottbus, Stadt",2001
"27",0.324309847941376,12052,"Cottbus, Stadt",2002
"28",0.328265894977393,12052,"Cottbus, Stadt",2003
"29",0.301322045598453,12052,"Cottbus, Stadt",2004
"30",0.34006679454584,12052,"Cottbus, Stadt",2005
"31",0.382957039588425,12052,"Cottbus, Stadt",2006
"32",0.494224481825381,12052,"Cottbus, Stadt",2007
"33",0.448802857338727,12052,"Cottbus, Stadt",2008
"34",0.44652863225831,12052,"Cottbus, Stadt",2009
"35",0.421513208204805,12052,"Cottbus, Stadt",2010
"36",0.429648736616049,12052,"Cottbus, Stadt",2011
"37",0.462536158376606,12052,"Cottbus, Stadt",2012
"38",0.576872136880408,12052,"Cottbus, Stadt",2013
"39",0.539838277065564,12052,"Cottbus, Stadt",2014
"40",0.584307752695475,12052,"Cottbus, Stadt",2015
"41",0.560957489404075,12052,"Cottbus, Stadt",2016
"42",0.617966928026708,12052,"Cottbus, Stadt",2017
"43",0.632596494811861,12052,"Cottbus, Stadt",2018
"44",0.520518685367236,12052,"Cottbus, Stadt",2019
"45",0.71602018735859,12053,"Frankfurt (Oder), Stadt",1998
"46",0.704258751875109,12053,"Frankfurt (Oder), Stadt",1999
"47",0.707207545866156,12053,"Frankfurt (Oder), Stadt",2000
"48",0.763518253763923,12053,"Frankfurt (Oder), Stadt",2001
"49",0.66378860661984,12053,"Frankfurt (Oder), Stadt",2002
"50",0.683571167244818,12053,"Frankfurt (Oder), Stadt",2003
"51",0.704853802927898,12053,"Frankfurt (Oder), Stadt",2004
"52",0.649882254416023,12053,"Frankfurt (Oder), Stadt",2005
"53",0.646361462601116,12053,"Frankfurt (Oder), Stadt",2006
"54",0.679910674950829,12053,"Frankfurt (Oder), Stadt",2007
"55",0.707151749168471,12053,"Frankfurt (Oder), Stadt",2008
"56",0.722059762604765,12053,"Frankfurt (Oder), Stadt",2009
"57",0.663479441889873,12053,"Frankfurt (Oder), Stadt",2010
"58",0.635872721264364,12053,"Frankfurt (Oder), Stadt",2011
"59",0.723763473637779,12053,"Frankfurt (Oder), Stadt",2012
"60",0.768329746651095,12053,"Frankfurt (Oder), Stadt",2013
"61",0.746694787873862,12053,"Frankfurt (Oder), Stadt",2014
"62",0.688423459343661,12053,"Frankfurt (Oder), Stadt",2015
"63",0.649200118477946,12053,"Frankfurt (Oder), Stadt",2016
"64",0.725796892599814,12053,"Frankfurt (Oder), Stadt",2017
"65",0.768204009672538,12053,"Frankfurt (Oder), Stadt",2018
"66",0.740713430877064,12053,"Frankfurt (Oder), Stadt",2019
"67",0,12054,"Potsdam, Stadt",1998
"68",0,12054,"Potsdam, Stadt",1999
"69",0,12054,"Potsdam, Stadt",2000
"70",0,12054,"Potsdam, Stadt",2001
"71",0,12054,"Potsdam, Stadt",2002
"72",0,12054,"Potsdam, Stadt",2003
"73",0,12054,"Potsdam, Stadt",2004
"74",0,12054,"Potsdam, Stadt",2005
"75",0,12054,"Potsdam, Stadt",2006
"76",0,12054,"Potsdam, Stadt",2007
"77",0,12054,"Potsdam, Stadt",2008
"78",0,12054,"Potsdam, Stadt",2009
"79",0,12054,"Potsdam, Stadt",2010
"80",0,12054,"Potsdam, Stadt",2011
"81",0,12054,"Potsdam, Stadt",2012
"82",0,12054,"Potsdam, Stadt",2013
"83",0,12054,"Potsdam, Stadt",2014
"84",0,12054,"Potsdam, Stadt",2015
"85",0,12054,"Potsdam, Stadt",2016
"86",0,12054,"Potsdam, Stadt",2017
"87",0,12054,"Potsdam, Stadt",2018
"88",0,12054,"Potsdam, Stadt",2019
"89",0.722175774157971,12060,"Barnim",1998
"90",0.699080715093589,12060,"Barnim",1999
"91",0.717805426207825,12060,"Barnim",2000
"92",0.651601234585578,12060,"Barnim",2001
"93",0.680393578499535,12060,"Barnim",2002
"94",0.584592892016855,12060,"Barnim",2003
"95",0.560737255049514,12060,"Barnim",2004
"96",0.506046663513194,12060,"Barnim",2005
"97",0.50857620610053,12060,"Barnim",2006
"98",0.560992663281934,12060,"Barnim",2007
"99",0.552836727314775,12060,"Barnim",2008
"100",0.521666258623161,12060,"Barnim",2009
"101",0.418832668333593,12060,"Barnim",2010
"102",0.478439061349953,12060,"Barnim",2011
"103",0.525383386125645,12060,"Barnim",2012
"104",0.515933019496204,12060,"Barnim",2013
"105",0.506106540511454,12060,"Barnim",2014
"106",0.498452177670046,12060,"Barnim",2015
"107",0.474692771110099,12060,"Barnim",2016
"108",0.511721127089882,12060,"Barnim",2017
"109",0.531464566494396,12060,"Barnim",2018
"110",0.4875774984963,12060,"Barnim",2019
"111",0.414742191131132,12061,"Dahme-Spreewald",1998
"112",0.413731526276351,12061,"Dahme-Spreewald",1999
"113",0.345395239181206,12061,"Dahme-Spreewald",2000
"114",0.330993578523078,12061,"Dahme-Spreewald",2001
"115",0.357128319904009,12061,"Dahme-Spreewald",2002
"116",0.322923255274237,12061,"Dahme-Spreewald",2003
"117",0.289966006985197,12061,"Dahme-Spreewald",2004
"118",0.284107494621229,12061,"Dahme-Spreewald",2005
"119",0.260014318609394,12061,"Dahme-Spreewald",2006
"120",0.299923378721002,12061,"Dahme-Spreewald",2007
"121",0.290126051538553,12061,"Dahme-Spreewald",2008
"122",0.298394599988954,12061,"Dahme-Spreewald",2009
"123",0.255665671927914,12061,"Dahme-Spreewald",2010
"124",0.215604465294918,12061,"Dahme-Spreewald",2011
"125",0.270601866412104,12061,"Dahme-Spreewald",2012
"126",0.363783218909663,12061,"Dahme-Spreewald",2013
"127",0.318692821149094,12061,"Dahme-Spreewald",2014
"128",0.354355446365534,12061,"Dahme-Spreewald",2015
"129",0.32939063573672,12061,"Dahme-Spreewald",2016
"130",0.320183000347968,12061,"Dahme-Spreewald",2017
"131",0.353608841447714,12061,"Dahme-Spreewald",2018
"132",0.310376983568629,12061,"Dahme-Spreewald",2019
"133",0.782667338526315,12062,"Elbe-Elster",1998
"134",0.764526998360861,12062,"Elbe-Elster",1999
"135",0.712444829345869,12062,"Elbe-Elster",2000
