"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.429362,3101000,"Braunschweig, Stadt",1998
"2",0.415798,3101000,"Braunschweig, Stadt",1999
"3",0.341507,3101000,"Braunschweig, Stadt",2000
"4",0.312544,3101000,"Braunschweig, Stadt",2001
"5",0.310761,3101000,"Braunschweig, Stadt",2002
"6",0.297569,3101000,"Braunschweig, Stadt",2003
"7",0.323938,3101000,"Braunschweig, Stadt",2004
"8",0.28939,3101000,"Braunschweig, Stadt",2005
"9",0.254176,3101000,"Braunschweig, Stadt",2006
"10",0.240897,3101000,"Braunschweig, Stadt",2007
"11",0.234538,3101000,"Braunschweig, Stadt",2008
"12",0.29166,3101000,"Braunschweig, Stadt",2009
"13",0.230924,3101000,"Braunschweig, Stadt",2010
"14",0.23009,3101000,"Braunschweig, Stadt",2011
"15",0.27425,3101000,"Braunschweig, Stadt",2012
"16",0.275243,3101000,"Braunschweig, Stadt",2013
"17",0.262185,3101000,"Braunschweig, Stadt",2014
"18",0.222981,3101000,"Braunschweig, Stadt",2015
"19",0.175433,3101000,"Braunschweig, Stadt",2016
"20",0.162727,3101000,"Braunschweig, Stadt",2017
"21",0.152876,3101000,"Braunschweig, Stadt",2018
"22",0.129053,3101000,"Braunschweig, Stadt",2019
"23",0.502193,3102000,"Salzgitter, Stadt",1998
"24",0.535013,3102000,"Salzgitter, Stadt",1999
"25",0.43726,3102000,"Salzgitter, Stadt",2000
"26",0.398589,3102000,"Salzgitter, Stadt",2001
"27",0.428749,3102000,"Salzgitter, Stadt",2002
"28",0.442182,3102000,"Salzgitter, Stadt",2003
"29",0.4385,3102000,"Salzgitter, Stadt",2004
"30",0.438002,3102000,"Salzgitter, Stadt",2005
"31",0.467826,3102000,"Salzgitter, Stadt",2006
"32",0.462634,3102000,"Salzgitter, Stadt",2007
"33",0.488894,3102000,"Salzgitter, Stadt",2008
"34",0.574474,3102000,"Salzgitter, Stadt",2009
"35",0.522604,3102000,"Salzgitter, Stadt",2010
"36",0.499955,3102000,"Salzgitter, Stadt",2011
"37",0.529873,3102000,"Salzgitter, Stadt",2012
"38",0.558677,3102000,"Salzgitter, Stadt",2013
"39",0.599441,3102000,"Salzgitter, Stadt",2014
"40",0.564444,3102000,"Salzgitter, Stadt",2015
"41",0.611505,3102000,"Salzgitter, Stadt",2016
"42",0.675949,3102000,"Salzgitter, Stadt",2017
"43",0.745522,3102000,"Salzgitter, Stadt",2018
"44",0.64069,3102000,"Salzgitter, Stadt",2019
"45",0,3103000,"Wolfsburg, Stadt",1998
"46",0,3103000,"Wolfsburg, Stadt",1999
"47",0,3103000,"Wolfsburg, Stadt",2000
"48",0,3103000,"Wolfsburg, Stadt",2001
"49",0,3103000,"Wolfsburg, Stadt",2002
"50",0,3103000,"Wolfsburg, Stadt",2003
"51",0,3103000,"Wolfsburg, Stadt",2004
"52",0,3103000,"Wolfsburg, Stadt",2005
"53",0,3103000,"Wolfsburg, Stadt",2006
"54",0,3103000,"Wolfsburg, Stadt",2007
"55",0,3103000,"Wolfsburg, Stadt",2008
"56",0,3103000,"Wolfsburg, Stadt",2009
"57",0,3103000,"Wolfsburg, Stadt",2010
"58",0,3103000,"Wolfsburg, Stadt",2011
"59",0,3103000,"Wolfsburg, Stadt",2012
"60",0,3103000,"Wolfsburg, Stadt",2013
"61",0,3103000,"Wolfsburg, Stadt",2014
"62",0,3103000,"Wolfsburg, Stadt",2015
"63",0,3103000,"Wolfsburg, Stadt",2016
"64",0,3103000,"Wolfsburg, Stadt",2017
"65",0,3103000,"Wolfsburg, Stadt",2018
"66",0,3103000,"Wolfsburg, Stadt",2019
"67",0.576797,3151009,"Gifhorn, Stadt",1998
"68",0.601894,3151009,"Gifhorn, Stadt",1999
"69",0.641823,3151009,"Gifhorn, Stadt",2000
"70",0.569249,3151009,"Gifhorn, Stadt",2001
"71",0.565363,3151009,"Gifhorn, Stadt",2002
"72",0.58285,3151009,"Gifhorn, Stadt",2003
"73",0.554445,3151009,"Gifhorn, Stadt",2004
"74",0.519748,3151009,"Gifhorn, Stadt",2005
"75",0.508555,3151009,"Gifhorn, Stadt",2006
"76",0.518691,3151009,"Gifhorn, Stadt",2007
"77",0.528348,3151009,"Gifhorn, Stadt",2008
"78",0.549445,3151009,"Gifhorn, Stadt",2009
"79",0.53809,3151009,"Gifhorn, Stadt",2010
"80",0.557718,3151009,"Gifhorn, Stadt",2011
"81",0.538744,3151009,"Gifhorn, Stadt",2012
"82",0.524133,3151009,"Gifhorn, Stadt",2013
"83",0.509648,3151009,"Gifhorn, Stadt",2014
"84",0.453898,3151009,"Gifhorn, Stadt",2015
"85",0.468426,3151009,"Gifhorn, Stadt",2016
"86",0.479097,3151009,"Gifhorn, Stadt",2017
"87",0.514533,3151009,"Gifhorn, Stadt",2018
"88",0.439406,3151009,"Gifhorn, Stadt",2019
"89",0.49374,3151025,"Sassenburg",1998
"90",0.5223,3151025,"Sassenburg",1999
"91",0.557652,3151025,"Sassenburg",2000
"92",0.503067,3151025,"Sassenburg",2001
