"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.391973,7111000,"Koblenz, Stadt",1998
"2",0.384499,7111000,"Koblenz, Stadt",1999
"3",0.381713,7111000,"Koblenz, Stadt",2000
"4",0.378198,7111000,"Koblenz, Stadt",2001
"5",0.431076,7111000,"Koblenz, Stadt",2002
"6",0.391457,7111000,"Koblenz, Stadt",2003
"7",0.368043,7111000,"Koblenz, Stadt",2004
"8",0.419332,7111000,"Koblenz, Stadt",2005
"9",0.396314,7111000,"Koblenz, Stadt",2006
"10",0.410549,7111000,"Koblenz, Stadt",2007
"11",0.443367,7111000,"Koblenz, Stadt",2008
"12",0.443409,7111000,"Koblenz, Stadt",2009
"13",0.502283,7111000,"Koblenz, Stadt",2010
"14",0.421463,7111000,"Koblenz, Stadt",2011
"15",0.46234,7111000,"Koblenz, Stadt",2012
"16",0.467355,7111000,"Koblenz, Stadt",2013
"17",0.462907,7111000,"Koblenz, Stadt",2014
"18",0.434683,7111000,"Koblenz, Stadt",2015
"19",0.419977,7111000,"Koblenz, Stadt",2016
"20",0.436159,7111000,"Koblenz, Stadt",2017
"21",0.439485,7111000,"Koblenz, Stadt",2018
"22",0.404544,7111000,"Koblenz, Stadt",2019
"23",0.39119,7131007,"Bad Neuenahr-Ahrweiler, Stadt",1998
"24",0.397396,7131007,"Bad Neuenahr-Ahrweiler, Stadt",1999
"25",0.372397,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2000
"26",0.416566,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2001
"27",0.516057,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2002
"28",0.553064,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2003
"29",0.482528,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2004
"30",0.415626,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2005
"31",0.42689,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2006
"32",0.434289,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2007
"33",0.496044,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2008
"34",0.472663,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2009
"35",0.507402,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2010
"36",0.448622,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2011
"37",0.453785,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2012
"38",0.490702,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2013
"39",0.461125,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2014
"40",0.477448,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2015
"41",0.448757,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2016
"42",0.443131,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2017
"43",0.470753,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2018
"44",0.492045,7131007,"Bad Neuenahr-Ahrweiler, Stadt",2019
"45",0.415675,7131070,"Remagen, Stadt",1998
"46",0.418675,7131070,"Remagen, Stadt",1999
"47",0.387161,7131070,"Remagen, Stadt",2000
"48",0.412154,7131070,"Remagen, Stadt",2001
"49",0.518083,7131070,"Remagen, Stadt",2002
"50",0.550248,7131070,"Remagen, Stadt",2003
"51",0.490006,7131070,"Remagen, Stadt",2004
"52",0.42868,7131070,"Remagen, Stadt",2005
"53",0.426469,7131070,"Remagen, Stadt",2006
"54",0.424631,7131070,"Remagen, Stadt",2007
"55",0.494348,7131070,"Remagen, Stadt",2008
"56",0.478768,7131070,"Remagen, Stadt",2009
"57",0.512277,7131070,"Remagen, Stadt",2010
"58",0.44809,7131070,"Remagen, Stadt",2011
