"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.926225673205247,10041,"Regionalverband Saarbrücken",1998
"2",0.933388787962969,10041,"Regionalverband Saarbrücken",1999
"3",0.918875901540926,10041,"Regionalverband Saarbrücken",2000
"4",0.89179862493125,10041,"Regionalverband Saarbrücken",2001
"5",0.694320367706368,10041,"Regionalverband Saarbrücken",2002
"6",0.81472618033427,10041,"Regionalverband Saarbrücken",2003
"7",0.823208727019382,10041,"Regionalverband Saarbrücken",2004
"8",0.730918279902106,10041,"Regionalverband Saarbrücken",2005
"9",0.803767654270443,10041,"Regionalverband Saarbrücken",2006
"10",0.802032814167688,10041,"Regionalverband Saarbrücken",2007
"11",0.864373857170303,10041,"Regionalverband Saarbrücken",2008
"12",0.868314651117672,10041,"Regionalverband Saarbrücken",2009
"13",0.859875069937163,10041,"Regionalverband Saarbrücken",2010
"14",0.812793821256568,10041,"Regionalverband Saarbrücken",2011
"15",0.795047620056829,10041,"Regionalverband Saarbrücken",2012
"16",0.770934551042924,10041,"Regionalverband Saarbrücken",2013
"17",0.817262936605333,10041,"Regionalverband Saarbrücken",2014
"18",0.85859379154836,10041,"Regionalverband Saarbrücken",2015
"19",0.843485847993763,10041,"Regionalverband Saarbrücken",2016
"20",0.812276878435672,10041,"Regionalverband Saarbrücken",2017
"21",0.935156846762634,10041,"Regionalverband Saarbrücken",2018
"22",0.816225842949017,10041,"Regionalverband Saarbrücken",2019
"23",0.958912406557575,10042,"Merzig-Wadern",1998
"24",0.863306469897929,10042,"Merzig-Wadern",1999
"25",0.713547557136462,10042,"Merzig-Wadern",2000
"26",0.862133818200129,10042,"Merzig-Wadern",2001
"27",0.789438037860908,10042,"Merzig-Wadern",2002
"28",0.882528324298637,10042,"Merzig-Wadern",2003
"29",0.764667826949524,10042,"Merzig-Wadern",2004
"30",0.863065422351008,10042,"Merzig-Wadern",2005
"31",0.909688453930337,10042,"Merzig-Wadern",2006
"32",0.931998295117839,10042,"Merzig-Wadern",2007
"33",1,10042,"Merzig-Wadern",2008
"34",0.967449920151728,10042,"Merzig-Wadern",2009
"35",1,10042,"Merzig-Wadern",2010
"36",0.922232560504547,10042,"Merzig-Wadern",2011
"37",1,10042,"Merzig-Wadern",2012
"38",1,10042,"Merzig-Wadern",2013
"39",1,10042,"Merzig-Wadern",2014
