"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.488969,15001000,"Dessau-Roßlau, Stadt",1998
"2",0.460747,15001000,"Dessau-Roßlau, Stadt",1999
"3",0.472957,15001000,"Dessau-Roßlau, Stadt",2000
"4",0.285998,15001000,"Dessau-Roßlau, Stadt",2001
"5",0.179453,15001000,"Dessau-Roßlau, Stadt",2002
"6",0.302799,15001000,"Dessau-Roßlau, Stadt",2003
"7",0.346991,15001000,"Dessau-Roßlau, Stadt",2004
"8",0.455337,15001000,"Dessau-Roßlau, Stadt",2005
"9",0.373904,15001000,"Dessau-Roßlau, Stadt",2006
"10",0.427166,15001000,"Dessau-Roßlau, Stadt",2007
"11",0.447404,15001000,"Dessau-Roßlau, Stadt",2008
"12",0.260772,15001000,"Dessau-Roßlau, Stadt",2009
"13",0.323811,15001000,"Dessau-Roßlau, Stadt",2010
"14",0.334668,15001000,"Dessau-Roßlau, Stadt",2011
"15",0.316288,15001000,"Dessau-Roßlau, Stadt",2012
"16",0.362782,15001000,"Dessau-Roßlau, Stadt",2013
"17",0.28262,15001000,"Dessau-Roßlau, Stadt",2014
"18",0.307631,15001000,"Dessau-Roßlau, Stadt",2015
"19",0.291885,15001000,"Dessau-Roßlau, Stadt",2016
"20",0.309141,15001000,"Dessau-Roßlau, Stadt",2017
"21",0.260052,15001000,"Dessau-Roßlau, Stadt",2018
"22",0.25661,15001000,"Dessau-Roßlau, Stadt",2019
"23",0.742619,15002000,"Halle (Saale), Stadt",1998
"24",0.71664,15002000,"Halle (Saale), Stadt",1999
"25",0.555683,15002000,"Halle (Saale), Stadt",2000
"26",0.606736,15002000,"Halle (Saale), Stadt",2001
"27",0.392231,15002000,"Halle (Saale), Stadt",2002
"28",0.532042,15002000,"Halle (Saale), Stadt",2003
"29",0.512755,15002000,"Halle (Saale), Stadt",2004
"30",0.569064,15002000,"Halle (Saale), Stadt",2005
"31",0.549499,15002000,"Halle (Saale), Stadt",2006
"32",0.580864,15002000,"Halle (Saale), Stadt",2007
"33",0.572737,15002000,"Halle (Saale), Stadt",2008
"34",0.452499,15002000,"Halle (Saale), Stadt",2009
"35",0.538481,15002000,"Halle (Saale), Stadt",2010
"36",0.516186,15002000,"Halle (Saale), Stadt",2011
"37",0.463199,15002000,"Halle (Saale), Stadt",2012
"38",0.450351,15002000,"Halle (Saale), Stadt",2013
"39",0.455769,15002000,"Halle (Saale), Stadt",2014
"40",0.401838,15002000,"Halle (Saale), Stadt",2015
"41",0.436867,15002000,"Halle (Saale), Stadt",2016
"42",0.425239,15002000,"Halle (Saale), Stadt",2017
"43",0.373288,15002000,"Halle (Saale), Stadt",2018
"44",0.446082,15002000,"Halle (Saale), Stadt",2019
"45",0.536677,15003000,"Magdeburg, Landeshauptstadt",1998
"46",0.501896,15003000,"Magdeburg, Landeshauptstadt",1999
"47",0.421963,15003000,"Magdeburg, Landeshauptstadt",2000
"48",0.431963,15003000,"Magdeburg, Landeshauptstadt",2001
"49",0.187341,15003000,"Magdeburg, Landeshauptstadt",2002
"50",0.355219,15003000,"Magdeburg, Landeshauptstadt",2003
"51",0.394442,15003000,"Magdeburg, Landeshauptstadt",2004
"52",0.511726,15003000,"Magdeburg, Landeshauptstadt",2005
"53",0.437195,15003000,"Magdeburg, Landeshauptstadt",2006
"54",0.430565,15003000,"Magdeburg, Landeshauptstadt",2007
"55",0.425033,15003000,"Magdeburg, Landeshauptstadt",2008
"56",0.304283,15003000,"Magdeburg, Landeshauptstadt",2009
"57",0.325254,15003000,"Magdeburg, Landeshauptstadt",2010
"58",0.355376,15003000,"Magdeburg, Landeshauptstadt",2011
"59",0.319134,15003000,"Magdeburg, Landeshauptstadt",2012
"60",0.266388,15003000,"Magdeburg, Landeshauptstadt",2013
"61",0.252806,15003000,"Magdeburg, Landeshauptstadt",2014
"62",0.253361,15003000,"Magdeburg, Landeshauptstadt",2015
"63",0.217196,15003000,"Magdeburg, Landeshauptstadt",2016
"64",0.197085,15003000,"Magdeburg, Landeshauptstadt",2017
"65",0.167498,15003000,"Magdeburg, Landeshauptstadt",2018
"66",0.19405,15003000,"Magdeburg, Landeshauptstadt",2019
"67",0.711205,15081030,"Arendsee (Altmark), Stadt",1998
"68",0.648509,15081030,"Arendsee (Altmark), Stadt",1999
"69",0.887905,15081030,"Arendsee (Altmark), Stadt",2000
"70",0.803636,15081030,"Arendsee (Altmark), Stadt",2001
"71",0.692341,15081030,"Arendsee (Altmark), Stadt",2002
"72",0.837589,15081030,"Arendsee (Altmark), Stadt",2003
"73",0.804882,15081030,"Arendsee (Altmark), Stadt",2004
"74",0.878171,15081030,"Arendsee (Altmark), Stadt",2005
"75",0.830062,15081030,"Arendsee (Altmark), Stadt",2006
"76",0.804376,15081030,"Arendsee (Altmark), Stadt",2007
"77",0.79564,15081030,"Arendsee (Altmark), Stadt",2008
"78",0.735271,15081030,"Arendsee (Altmark), Stadt",2009
"79",0.727686,15081030,"Arendsee (Altmark), Stadt",2010
"80",0.634088,15081030,"Arendsee (Altmark), Stadt",2011
"81",0.694327,15081030,"Arendsee (Altmark), Stadt",2012
"82",0.540804,15081030,"Arendsee (Altmark), Stadt",2013
"83",0.533447,15081030,"Arendsee (Altmark), Stadt",2014
"84",0.601405,15081030,"Arendsee (Altmark), Stadt",2015
"85",0.604678,15081030,"Arendsee (Altmark), Stadt",2016
"86",0.610655,15081030,"Arendsee (Altmark), Stadt",2017
"87",0.570673,15081030,"Arendsee (Altmark), Stadt",2018
"88",0.674067,15081030,"Arendsee (Altmark), Stadt",2019
"89",0.437358,15081135,"Gardelegen, Hansestadt",1998
"90",0.365374,15081135,"Gardelegen, Hansestadt",1999
"91",0.567355,15081135,"Gardelegen, Hansestadt",2000
"92",0.56233,15081135,"Gardelegen, Hansestadt",2001
"93",0.382533,15081135,"Gardelegen, Hansestadt",2002
"94",0.591559,15081135,"Gardelegen, Hansestadt",2003
"95",0.538276,15081135,"Gardelegen, Hansestadt",2004
"96",0.695028,15081135,"Gardelegen, Hansestadt",2005
"97",0.66336,15081135,"Gardelegen, Hansestadt",2006
"98",0.632815,15081135,"Gardelegen, Hansestadt",2007
"99",0.587772,15081135,"Gardelegen, Hansestadt",2008
"100",0.503186,15081135,"Gardelegen, Hansestadt",2009
"101",0.483746,15081135,"Gardelegen, Hansestadt",2010
"102",0.565399,15081135,"Gardelegen, Hansestadt",2011
"103",0.60057,15081135,"Gardelegen, Hansestadt",2012
"104",0.419752,15081135,"Gardelegen, Hansestadt",2013
"105",0.372279,15081135,"Gardelegen, Hansestadt",2014
"106",0.413893,15081135,"Gardelegen, Hansestadt",2015
"107",0.434088,15081135,"Gardelegen, Hansestadt",2016
"108",0.455066,15081135,"Gardelegen, Hansestadt",2017
