"","GISD_Score","GVBKennziffer","Name des Gemeindeverbands","Jahr"
"1",0.916757,1001000,"Flensburg, Stadt",1998
"2",0.984528,1001000,"Flensburg, Stadt",1999
"3",0.907533,1001000,"Flensburg, Stadt",2000
"4",0.868252,1001000,"Flensburg, Stadt",2001
"5",0.885683,1001000,"Flensburg, Stadt",2002
"6",0.842697,1001000,"Flensburg, Stadt",2003
"7",0.934114,1001000,"Flensburg, Stadt",2004
"8",0.934248,1001000,"Flensburg, Stadt",2005
"9",0.947008,1001000,"Flensburg, Stadt",2006
"10",0.952925,1001000,"Flensburg, Stadt",2007
"11",0.90786,1001000,"Flensburg, Stadt",2008
"12",0.956146,1001000,"Flensburg, Stadt",2009
"13",0.945139,1001000,"Flensburg, Stadt",2010
"14",0.861387,1001000,"Flensburg, Stadt",2011
"15",0.869105,1001000,"Flensburg, Stadt",2012
"16",0.913661,1001000,"Flensburg, Stadt",2013
"17",0.906511,1001000,"Flensburg, Stadt",2014
"18",0.913316,1001000,"Flensburg, Stadt",2015
"19",0.874609,1001000,"Flensburg, Stadt",2016
"20",0.90242,1001000,"Flensburg, Stadt",2017
"21",0.821654,1001000,"Flensburg, Stadt",2018
"22",0.83144,1001000,"Flensburg, Stadt",2019
"23",0.686708,1002000,"Kiel, Landeshauptstadt",1998
"24",0.701147,1002000,"Kiel, Landeshauptstadt",1999
"25",0.732866,1002000,"Kiel, Landeshauptstadt",2000
"26",0.689095,1002000,"Kiel, Landeshauptstadt",2001
"27",0.630879,1002000,"Kiel, Landeshauptstadt",2002
"28",0.649617,1002000,"Kiel, Landeshauptstadt",2003
"29",0.688089,1002000,"Kiel, Landeshauptstadt",2004
"30",0.665484,1002000,"Kiel, Landeshauptstadt",2005
"31",0.70768,1002000,"Kiel, Landeshauptstadt",2006
"32",0.707941,1002000,"Kiel, Landeshauptstadt",2007
"33",0.650447,1002000,"Kiel, Landeshauptstadt",2008
"34",0.589654,1002000,"Kiel, Landeshauptstadt",2009
"35",0.596266,1002000,"Kiel, Landeshauptstadt",2010
"36",0.574166,1002000,"Kiel, Landeshauptstadt",2011
"37",0.594034,1002000,"Kiel, Landeshauptstadt",2012
"38",0.586137,1002000,"Kiel, Landeshauptstadt",2013
"39",0.584251,1002000,"Kiel, Landeshauptstadt",2014
"40",0.541051,1002000,"Kiel, Landeshauptstadt",2015
"41",0.529044,1002000,"Kiel, Landeshauptstadt",2016
"42",0.519716,1002000,"Kiel, Landeshauptstadt",2017
"43",0.489153,1002000,"Kiel, Landeshauptstadt",2018
"44",0.458715,1002000,"Kiel, Landeshauptstadt",2019
"45",0.871233,1003000,"Lübeck, Hansestadt",1998
"46",0.904203,1003000,"Lübeck, Hansestadt",1999
"47",0.969457,1003000,"Lübeck, Hansestadt",2000
"48",0.948782,1003000,"Lübeck, Hansestadt",2001
"49",0.902322,1003000,"Lübeck, Hansestadt",2002
"50",0.876588,1003000,"Lübeck, Hansestadt",2003
"51",0.867217,1003000,"Lübeck, Hansestadt",2004
"52",0.894324,1003000,"Lübeck, Hansestadt",2005
"53",0.869158,1003000,"Lübeck, Hansestadt",2006
"54",0.860694,1003000,"Lübeck, Hansestadt",2007
"55",0.833656,1003000,"Lübeck, Hansestadt",2008
"56",0.808873,1003000,"Lübeck, Hansestadt",2009
"57",0.807834,1003000,"Lübeck, Hansestadt",2010
"58",0.856268,1003000,"Lübeck, Hansestadt",2011
"59",0.881003,1003000,"Lübeck, Hansestadt",2012
"60",0.808867,1003000,"Lübeck, Hansestadt",2013
"61",0.878736,1003000,"Lübeck, Hansestadt",2014
"62",0.796993,1003000,"Lübeck, Hansestadt",2015
"63",0.719364,1003000,"Lübeck, Hansestadt",2016
"64",0.754822,1003000,"Lübeck, Hansestadt",2017
"65",0.679949,1003000,"Lübeck, Hansestadt",2018
"66",0.665734,1003000,"Lübeck, Hansestadt",2019
"67",1,1004000,"Neumünster, Stadt",1998
"68",1,1004000,"Neumünster, Stadt",1999
"69",0.91639,1004000,"Neumünster, Stadt",2000
"70",0.870167,1004000,"Neumünster, Stadt",2001
"71",0.859514,1004000,"Neumünster, Stadt",2002
"72",0.99379,1004000,"Neumünster, Stadt",2003
"73",0.97059,1004000,"Neumünster, Stadt",2004
"74",0.870931,1004000,"Neumünster, Stadt",2005
"75",0.913462,1004000,"Neumünster, Stadt",2006
"76",0.916588,1004000,"Neumünster, Stadt",2007
"77",0.984276,1004000,"Neumünster, Stadt",2008
"78",0.93234,1004000,"Neumünster, Stadt",2009
"79",0.968268,1004000,"Neumünster, Stadt",2010
"80",1,1004000,"Neumünster, Stadt",2011
"81",0.962082,1004000,"Neumünster, Stadt",2012
"82",1,1004000,"Neumünster, Stadt",2013
"83",0.975547,1004000,"Neumünster, Stadt",2014
"84",1,1004000,"Neumünster, Stadt",2015
"85",1,1004000,"Neumünster, Stadt",2016
"86",1,1004000,"Neumünster, Stadt",2017
"87",1,1004000,"Neumünster, Stadt",2018
"88",1,1004000,"Neumünster, Stadt",2019
"89",0.680121,1051011,"Brunsbüttel, Stadt",1998
"90",0.751683,1051011,"Brunsbüttel, Stadt",1999
"91",0.809598,1051011,"Brunsbüttel, Stadt",2000
"92",0.848768,1051011,"Brunsbüttel, Stadt",2001
"93",0.821126,1051011,"Brunsbüttel, Stadt",2002
"94",0.782914,1051011,"Brunsbüttel, Stadt",2003
"95",0.82499,1051011,"Brunsbüttel, Stadt",2004
"96",0.824169,1051011,"Brunsbüttel, Stadt",2005
"97",0.788018,1051011,"Brunsbüttel, Stadt",2006
"98",0.814352,1051011,"Brunsbüttel, Stadt",2007
"99",0.802086,1051011,"Brunsbüttel, Stadt",2008
"100",0.812541,1051011,"Brunsbüttel, Stadt",2009
"101",0.788168,1051011,"Brunsbüttel, Stadt",2010
"102",0.796128,1051011,"Brunsbüttel, Stadt",2011
"103",0.843511,1051011,"Brunsbüttel, Stadt",2012
"104",0.780852,1051011,"Brunsbüttel, Stadt",2013
"105",0.858023,1051011,"Brunsbüttel, Stadt",2014
"106",0.793156,1051011,"Brunsbüttel, Stadt",2015
"107",0.791867,1051011,"Brunsbüttel, Stadt",2016
"108",0.755144,1051011,"Brunsbüttel, Stadt",2017
"109",0.732678,1051011,"Brunsbüttel, Stadt",2018
"110",0.695801,1051011,"Brunsbüttel, Stadt",2019
"111",0.799234,1051044,"Heide, Stadt",1998
"112",0.864978,1051044,"Heide, Stadt",1999
"113",0.912864,1051044,"Heide, Stadt",2000
"114",0.92728,1051044,"Heide, Stadt",2001
"115",0.927651,1051044,"Heide, Stadt",2002
"116",0.908646,1051044,"Heide, Stadt",2003
"117",0.964038,1051044,"Heide, Stadt",2004
"118",1,1051044,"Heide, Stadt",2005
"119",0.963575,1051044,"Heide, Stadt",2006
"120",0.964899,1051044,"Heide, Stadt",2007
"121",0.980662,1051044,"Heide, Stadt",2008
"122",1,1051044,"Heide, Stadt",2009
"123",0.958525,1051044,"Heide, Stadt",2010
"124",0.968051,1051044,"Heide, Stadt",2011
"125",1,1051044,"Heide, Stadt",2012
"126",0.911637,1051044,"Heide, Stadt",2013
"127",0.984586,1051044,"Heide, Stadt",2014
"128",0.937515,1051044,"Heide, Stadt",2015
"129",0.934156,1051044,"Heide, Stadt",2016
"130",0.901835,1051044,"Heide, Stadt",2017
"131",0.87288,1051044,"Heide, Stadt",2018
"132",0.857913,1051044,"Heide, Stadt",2019
"133",0.730374,1051963,"Burg-St. Michaelisdonn",1998
"134",0.781432,1051963,"Burg-St. Michaelisdonn",1999
"135",0.84033,1051963,"Burg-St. Michaelisdonn",2000
