"";"JAHR";"PLZ2";"GISD_Score";"Bevölkerung";"GISD_5";"GISD_10";"GISD_k"
"1";1998;1;0,675298;1242943;4;8;2
"2";1998;2;0,870262;427271;5;10;3
"3";1998;3;0,805823;294995;5;9;3
"4";1998;4;0,847226;1227112;5;9;3
"5";1998;6;1;1276724;5;10;3
"6";1998;7;0,773166;562704;5;9;3
"7";1998;8;0,796689;577243;5;9;3
"8";1998;9;0,808412;788063;5;9;3
"9";1998;10;0,849006;414467;5;9;3
"10";1998;12;0,847703;1377942;5;9;3
"11";1998;13;0,848982;1173394;5;9;3
"12";1998;14;0,770747;1264837;5;9;3
"13";1998;15;0,788426;627638;5;9;3
"14";1998;16;0,889397;598413;5;10;3
"15";1998;17;0,988637;582175;5;10;3
"16";1998;18;0,916496;603349;5;10;3
"17";1998;19;0,926557;401381;5;10;3
"18";1998;20;0,340104;123873;1;2;1
"19";1998;21;0,389039;1597996;2;3;2
"20";1998;22;0,335558;1103442;1;2;1
"21";1998;23;0,666763;733238;4;8;2
"22";1998;24;0,63956;1095349;4;7;2
"23";1998;25;0,531313;694669;3;6;2
"24";1998;26;0,717563;1174940;4;8;2
"25";1998;27;0,698473;860141;4;8;2
"26";1998;28;0,555354;738878;3;6;2
"27";1998;29;0,713169;522068;4;8;2
"28";1998;30;0,46086;912461;3;5;2
"29";1998;31;0,579253;987374;4;7;2
"30";1998;32;0,488416;885607;3;5;2
"31";1998;33;0,479678;1082569;3;5;2
"32";1998;34;0,532625;771997;3;6;2
"33";1998;35;0,485863;912547;3;5;2
"34";1998;36;0,486254;522085;3;5;2
"35";1998;37;0,672514;433234;4;8;2
"36";1998;38;0,573046;1141969;4;7;2
"37";1998;39;0,98041;783323;5;10;3
"38";1998;40;0,252482;991992;1;1;1
"39";1998;41;0,4988;952282;3;6;2
"40";1998;42;0,566607;878888;3;6;2
"41";1998;44;0,642403;1267494;4;8;2
"42";1998;45;0,582895;1559154;4;7;2
"43";1998;46;0,593328;894580;4;7;2
"44";1998;47;0,692614;1313713;4;8;2
"45";1998;48;0,387374;1189935;2;3;2
"46";1998;49;0,598093;1228129;4;7;2
"47";1998;50;0,410493;1084177;2;4;2
"48";1998;51;0,39238;1079789;2;4;2
"49";1998;52;0,614877;941131;4;7;2
"50";1998;53;0,381473;1265468;2;3;2
"51";1998;54;0,579003;516542;4;7;2
"52";1998;55;0,42768;795458;2;4;2
"53";1998;56;0,572119;849197;3;6;2
"54";1998;57;0,489715;598580;3;5;2
"55";1998;58;0,606944;930406;4;7;2
"56";1998;59;0,550969;1145053;3;6;2
"57";1998;60;0,268865;619157;1;2;1
"58";1998;61;0,080013;451016;1;1;1
"59";1998;63;0,406569;1268561;2;4;2
"60";1998;64;0,297839;792590;1;2;1
"61";1998;65;0,266665;1081648;1;2;1
