"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.08685,8111,"Stuttgart, Stadt",1998
"2",0.05361,8111,"Stuttgart, Stadt",1999
"3",0.11671,8111,"Stuttgart, Stadt",2000
"4",0.09765,8111,"Stuttgart, Stadt",2001
"5",0.17666,8111,"Stuttgart, Stadt",2002
"6",0.14683,8111,"Stuttgart, Stadt",2003
"7",0.06247,8111,"Stuttgart, Stadt",2004
"8",0.05277,8111,"Stuttgart, Stadt",2005
"9",0.0846,8111,"Stuttgart, Stadt",2006
"10",0.04923,8111,"Stuttgart, Stadt",2007
"11",0.05491,8111,"Stuttgart, Stadt",2008
"12",0.08741,8111,"Stuttgart, Stadt",2009
"13",0.05587,8111,"Stuttgart, Stadt",2010
"14",0.05216,8111,"Stuttgart, Stadt",2011
"15",0.12629,8111,"Stuttgart, Stadt",2012
"16",0.14822,8111,"Stuttgart, Stadt",2013
"17",0.10069,8111,"Stuttgart, Stadt",2014
"18",0.10202,8111,"Stuttgart, Stadt",2015
"19",0.10377,8111,"Stuttgart, Stadt",2016
"20",0,8111,"Stuttgart, Stadt",2017
"21",0.06841,8111,"Stuttgart, Stadt",2018
"22",0.03029,8111,"Stuttgart, Stadt",2019
"23",0,8115,"Böblingen",1998
"24",0.02263,8115,"Böblingen",1999
"25",0.03069,8115,"Böblingen",2000
"26",0.0027,8115,"Böblingen",2001
"27",0.09706,8115,"Böblingen",2002
"28",0.10653,8115,"Böblingen",2003
"29",0.01886,8115,"Böblingen",2004
"30",0,8115,"Böblingen",2005
"31",0,8115,"Böblingen",2006
"32",0,8115,"Böblingen",2007
"33",0,8115,"Böblingen",2008
"34",0.04269,8115,"Böblingen",2009
"35",0.01325,8115,"Böblingen",2010
"36",0,8115,"Böblingen",2011
"37",0.12131,8115,"Böblingen",2012
"38",0.12884,8115,"Böblingen",2013
"39",0.09899,8115,"Böblingen",2014
"40",0.09621,8115,"Böblingen",2015
"41",0.1121,8115,"Böblingen",2016
"42",0.08911,8115,"Böblingen",2017
"43",0.12273,8115,"Böblingen",2018
"44",0.08781,8115,"Böblingen",2019
"45",0.05689,8116,"Esslingen",1998
"46",0.08004,8116,"Esslingen",1999
"47",0.16846,8116,"Esslingen",2000
"48",0.12496,8116,"Esslingen",2001
"49",0.14806,8116,"Esslingen",2002
"50",0.16395,8116,"Esslingen",2003
"51",0.09429,8116,"Esslingen",2004
"52",0.06589,8116,"Esslingen",2005
"53",0.09697,8116,"Esslingen",2006
"54",0.11373,8116,"Esslingen",2007
"55",0.11676,8116,"Esslingen",2008
