"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.45153,9161,"Ingolstadt, Stadt",1998
"2",0.43041,9161,"Ingolstadt, Stadt",1999
"3",0.4825,9161,"Ingolstadt, Stadt",2000
"4",0.48457,9161,"Ingolstadt, Stadt",2001
"5",0.55603,9161,"Ingolstadt, Stadt",2002
"6",0.5128,9161,"Ingolstadt, Stadt",2003
"7",0.43628,9161,"Ingolstadt, Stadt",2004
"8",0.43668,9161,"Ingolstadt, Stadt",2005
"9",0.44422,9161,"Ingolstadt, Stadt",2006
"10",0.47139,9161,"Ingolstadt, Stadt",2007
"11",0.48455,9161,"Ingolstadt, Stadt",2008
"12",0.47599,9161,"Ingolstadt, Stadt",2009
"13",0.45279,9161,"Ingolstadt, Stadt",2010
"14",0.43079,9161,"Ingolstadt, Stadt",2011
"15",0.38682,9161,"Ingolstadt, Stadt",2012
"16",0.31055,9161,"Ingolstadt, Stadt",2013
"17",0.2999,9161,"Ingolstadt, Stadt",2014
"18",0.23884,9161,"Ingolstadt, Stadt",2015
"19",0.19281,9161,"Ingolstadt, Stadt",2016
"20",0.18942,9161,"Ingolstadt, Stadt",2017
"21",0.22973,9161,"Ingolstadt, Stadt",2018
"22",0.2196,9161,"Ingolstadt, Stadt",2019
"23",0.22152,9162,"München, Stadt",1998
"24",0.18612,9162,"München, Stadt",1999
"25",0.13033,9162,"München, Stadt",2000
"26",0.16597,9162,"München, Stadt",2001
"27",0.175,9162,"München, Stadt",2002
"28",0.22228,9162,"München, Stadt",2003
"29",0.18782,9162,"München, Stadt",2004
"30",0.22755,9162,"München, Stadt",2005
"31",0.24629,9162,"München, Stadt",2006
"32",0.25892,9162,"München, Stadt",2007
"33",0.25869,9162,"München, Stadt",2008
"34",0.26237,9162,"München, Stadt",2009
"35",0.26587,9162,"München, Stadt",2010
"36",0.25569,9162,"München, Stadt",2011
"37",0.1922,9162,"München, Stadt",2012
"38",0.18057,9162,"München, Stadt",2013
"39",0.12657,9162,"München, Stadt",2014
"40",0.13539,9162,"München, Stadt",2015
"41",0.03592,9162,"München, Stadt",2016
"42",0.02138,9162,"München, Stadt",2017
"43",0.03303,9162,"München, Stadt",2018
"44",0.03428,9162,"München, Stadt",2019
"45",0.63907,9163,"Rosenheim, Stadt",1998
"46",0.70953,9163,"Rosenheim, Stadt",1999
"47",0.68856,9163,"Rosenheim, Stadt",2000
"48",0.68742,9163,"Rosenheim, Stadt",2001
"49",0.65952,9163,"Rosenheim, Stadt",2002
"50",0.63607,9163,"Rosenheim, Stadt",2003
"51",0.57019,9163,"Rosenheim, Stadt",2004
"52",0.61814,9163,"Rosenheim, Stadt",2005
"53",0.65627,9163,"Rosenheim, Stadt",2006
"54",0.70355,9163,"Rosenheim, Stadt",2007
"55",0.70623,9163,"Rosenheim, Stadt",2008
"56",0.72853,9163,"Rosenheim, Stadt",2009
"57",0.74718,9163,"Rosenheim, Stadt",2010
"58",0.71464,9163,"Rosenheim, Stadt",2011
"59",0.72768,9163,"Rosenheim, Stadt",2012
"60",0.72878,9163,"Rosenheim, Stadt",2013
"61",0.72614,9163,"Rosenheim, Stadt",2014
"62",0.67337,9163,"Rosenheim, Stadt",2015
