"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.37395,7111,"Koblenz, Stadt",1998
"2",0.37114,7111,"Koblenz, Stadt",1999
"3",0.38211,7111,"Koblenz, Stadt",2000
"4",0.37268,7111,"Koblenz, Stadt",2001
"5",0.39771,7111,"Koblenz, Stadt",2002
"6",0.38093,7111,"Koblenz, Stadt",2003
"7",0.36497,7111,"Koblenz, Stadt",2004
"8",0.44287,7111,"Koblenz, Stadt",2005
"9",0.4148,7111,"Koblenz, Stadt",2006
"10",0.41546,7111,"Koblenz, Stadt",2007
"11",0.46226,7111,"Koblenz, Stadt",2008
"12",0.45764,7111,"Koblenz, Stadt",2009
"13",0.49701,7111,"Koblenz, Stadt",2010
"14",0.42478,7111,"Koblenz, Stadt",2011
"15",0.41573,7111,"Koblenz, Stadt",2012
"16",0.4174,7111,"Koblenz, Stadt",2013
"17",0.42353,7111,"Koblenz, Stadt",2014
"18",0.39481,7111,"Koblenz, Stadt",2015
"19",0.37963,7111,"Koblenz, Stadt",2016
"20",0.38987,7111,"Koblenz, Stadt",2017
"21",0.39218,7111,"Koblenz, Stadt",2018
"22",0.35615,7111,"Koblenz, Stadt",2019
"23",0.33151,7131,"Ahrweiler",1998
"24",0.33681,7131,"Ahrweiler",1999
"25",0.3345,7131,"Ahrweiler",2000
"26",0.34726,7131,"Ahrweiler",2001
"27",0.41902,7131,"Ahrweiler",2002
"28",0.45121,7131,"Ahrweiler",2003
"29",0.39239,7131,"Ahrweiler",2004
"30",0.36549,7131,"Ahrweiler",2005
"31",0.35527,7131,"Ahrweiler",2006
"32",0.33597,7131,"Ahrweiler",2007
"33",0.39494,7131,"Ahrweiler",2008
"34",0.37419,7131,"Ahrweiler",2009
"35",0.38805,7131,"Ahrweiler",2010
"36",0.34389,7131,"Ahrweiler",2011
"37",0.3545,7131,"Ahrweiler",2012
"38",0.35983,7131,"Ahrweiler",2013
"39",0.33561,7131,"Ahrweiler",2014
"40",0.3435,7131,"Ahrweiler",2015
"41",0.31429,7131,"Ahrweiler",2016
"42",0.30199,7131,"Ahrweiler",2017
"43",0.31424,7131,"Ahrweiler",2018
"44",0.33101,7131,"Ahrweiler",2019
"45",0.56329,7132,"Altenkirchen (Westerwald)",1998
"46",0.56783,7132,"Altenkirchen (Westerwald)",1999
"47",0.58819,7132,"Altenkirchen (Westerwald)",2000
"48",0.55436,7132,"Altenkirchen (Westerwald)",2001
"49",0.56031,7132,"Altenkirchen (Westerwald)",2002
"50",0.58431,7132,"Altenkirchen (Westerwald)",2003
"51",0.55895,7132,"Altenkirchen (Westerwald)",2004
"52",0.62329,7132,"Altenkirchen (Westerwald)",2005
"53",0.6148,7132,"Altenkirchen (Westerwald)",2006
"54",0.60565,7132,"Altenkirchen (Westerwald)",2007
"55",0.6151,7132,"Altenkirchen (Westerwald)",2008
"56",0.6925,7132,"Altenkirchen (Westerwald)",2009
"57",0.66479,7132,"Altenkirchen (Westerwald)",2010
"58",0.58322,7132,"Altenkirchen (Westerwald)",2011
"59",0.57407,7132,"Altenkirchen (Westerwald)",2012
"60",0.58719,7132,"Altenkirchen (Westerwald)",2013
"61",0.58684,7132,"Altenkirchen (Westerwald)",2014
"62",0.58378,7132,"Altenkirchen (Westerwald)",2015
"63",0.58715,7132,"Altenkirchen (Westerwald)",2016
"64",0.56723,7132,"Altenkirchen (Westerwald)",2017
"65",0.56999,7132,"Altenkirchen (Westerwald)",2018
"66",0.54112,7132,"Altenkirchen (Westerwald)",2019
"67",0.49417,7133,"Bad Kreuznach",1998
"68",0.49506,7133,"Bad Kreuznach",1999
"69",0.52469,7133,"Bad Kreuznach",2000
"70",0.53999,7133,"Bad Kreuznach",2001
"71",0.50041,7133,"Bad Kreuznach",2002
"72",0.48945,7133,"Bad Kreuznach",2003
"73",0.45493,7133,"Bad Kreuznach",2004
"74",0.50335,7133,"Bad Kreuznach",2005
"75",0.50836,7133,"Bad Kreuznach",2006
"76",0.48875,7133,"Bad Kreuznach",2007
"77",0.50877,7133,"Bad Kreuznach",2008
"78",0.53628,7133,"Bad Kreuznach",2009
"79",0.51858,7133,"Bad Kreuznach",2010
"80",0.4812,7133,"Bad Kreuznach",2011
"81",0.50695,7133,"Bad Kreuznach",2012
"82",0.51098,7133,"Bad Kreuznach",2013
"83",0.50611,7133,"Bad Kreuznach",2014
"84",0.52073,7133,"Bad Kreuznach",2015
"85",0.49472,7133,"Bad Kreuznach",2016
"86",0.52934,7133,"Bad Kreuznach",2017
"87",0.49143,7133,"Bad Kreuznach",2018
"88",0.49621,7133,"Bad Kreuznach",2019
"89",0.68174,7134,"Birkenfeld",1998
"90",0.67763,7134,"Birkenfeld",1999
"91",0.69555,7134,"Birkenfeld",2000
"92",0.71075,7134,"Birkenfeld",2001
"93",0.65325,7134,"Birkenfeld",2002
"94",0.66025,7134,"Birkenfeld",2003
"95",0.56223,7134,"Birkenfeld",2004
"96",0.61603,7134,"Birkenfeld",2005
"97",0.62584,7134,"Birkenfeld",2006
"98",0.56889,7134,"Birkenfeld",2007
"99",0.63584,7134,"Birkenfeld",2008
