"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.91989,10041,"Regionalverband Saarbrücken",1998
"2",0.92641,10041,"Regionalverband Saarbrücken",1999
"3",0.92934,10041,"Regionalverband Saarbrücken",2000
"4",0.90221,10041,"Regionalverband Saarbrücken",2001
"5",0.67636,10041,"Regionalverband Saarbrücken",2002
"6",0.81985,10041,"Regionalverband Saarbrücken",2003
"7",0.84173,10041,"Regionalverband Saarbrücken",2004
"8",0.72898,10041,"Regionalverband Saarbrücken",2005
"9",0.80584,10041,"Regionalverband Saarbrücken",2006
"10",0.80238,10041,"Regionalverband Saarbrücken",2007
"11",0.8691,10041,"Regionalverband Saarbrücken",2008
"12",0.86211,10041,"Regionalverband Saarbrücken",2009
"13",0.86294,10041,"Regionalverband Saarbrücken",2010
"14",0.79851,10041,"Regionalverband Saarbrücken",2011
"15",0.72279,10041,"Regionalverband Saarbrücken",2012
"16",0.76927,10041,"Regionalverband Saarbrücken",2013
"17",0.81882,10041,"Regionalverband Saarbrücken",2014
"18",0.85836,10041,"Regionalverband Saarbrücken",2015
"19",0.84217,10041,"Regionalverband Saarbrücken",2016
"20",0.79823,10041,"Regionalverband Saarbrücken",2017
"21",0.93847,10041,"Regionalverband Saarbrücken",2018
"22",0.80245,10041,"Regionalverband Saarbrücken",2019
"23",0.93903,10042,"Merzig-Wadern",1998
"24",0.81391,10042,"Merzig-Wadern",1999
"25",0.69518,10042,"Merzig-Wadern",2000
"26",0.85595,10042,"Merzig-Wadern",2001
"27",0.79021,10042,"Merzig-Wadern",2002
"28",0.89739,10042,"Merzig-Wadern",2003
"29",0.7581,10042,"Merzig-Wadern",2004
"30",0.8652,10042,"Merzig-Wadern",2005
"31",0.90691,10042,"Merzig-Wadern",2006
"32",0.92332,10042,"Merzig-Wadern",2007
"33",1,10042,"Merzig-Wadern",2008
"34",0.95326,10042,"Merzig-Wadern",2009
"35",1,10042,"Merzig-Wadern",2010
"36",0.89292,10042,"Merzig-Wadern",2011
"37",0.99446,10042,"Merzig-Wadern",2012
"38",1,10042,"Merzig-Wadern",2013
"39",1,10042,"Merzig-Wadern",2014
"40",0.95081,10042,"Merzig-Wadern",2015
"41",1,10042,"Merzig-Wadern",2016
"42",1,10042,"Merzig-Wadern",2017
"43",0.99807,10042,"Merzig-Wadern",2018
"44",0.75241,10042,"Merzig-Wadern",2019
"45",1,10043,"Neunkirchen",1998
"46",1,10043,"Neunkirchen",1999
"47",1,10043,"Neunkirchen",2000
"48",1,10043,"Neunkirchen",2001
"49",1,10043,"Neunkirchen",2002
"50",1,10043,"Neunkirchen",2003
"51",1,10043,"Neunkirchen",2004
"52",1,10043,"Neunkirchen",2005
"53",1,10043,"Neunkirchen",2006
"54",1,10043,"Neunkirchen",2007
"55",0.95226,10043,"Neunkirchen",2008
"56",1,10043,"Neunkirchen",2009
"57",0.99309,10043,"Neunkirchen",2010
"58",1,10043,"Neunkirchen",2011
"59",1,10043,"Neunkirchen",2012
"60",0.94216,10043,"Neunkirchen",2013
"61",0.97436,10043,"Neunkirchen",2014
"62",1,10043,"Neunkirchen",2015
